Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95
2067,2586241299.227737,3004264567.7673836,3523121891.688398,1096277940.2683055,1339782962.1253886,1639718041.8741693
2068,2593179148.7457514,3011805974.213826,3530985033.31465,902182964.2802235,1101884251.3366265,1347838920.329535
2069,2594292431.809432,3012127997.0438147,3529791669.681784,680518600.0772487,830019156.8556918,1014146144.0337737
2070,2588881829.912057,3004399916.2130876,3518552685.3564625,428627911.722102,520849368.3572319,634567118.5402447
2071,2576223546.188098,2987756754.0429296,3496230232.207268,143677660.34544668,170991098.11472183,204888139.89380735
2072,2614640867.194599,3033364200.328578,3550447640.7463536,78439226.01583798,91000926.00985733,106513429.22239059
2073,2669660278.900601,3099193799.965956,3629510620.3695664,80089808.36701801,92975813.99897867,108885318.61108698
2074,2724928985.8923173,3165300427.5146313,3708874189.95144,81747869.5767695,94959012.82543895,111266225.6985432
2075,2780416154.848449,3231652131.0028195,3788507476.257817,83412484.64545347,96949563.93008459,113655224.2877345
2076,2827630611.9927363,3288656981.5940313,3857770532.8665195,84828918.35978208,98659709.44782093,115733115.98599558
