peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
13127731271.570803,2037,300749302554.7253,2047.0,50_percent_of_peak,12,6773131947.2388525,12149786556.658602,7707908607.240185,5199440101.743759,4034214305.3138742,1856468953.1987777,211550392266.393
13149058048.24698,2035,319191175815.1015,2045.0,50_percent_of_peak,13,7899222061.386289,13149058048.24698,6503920782.505331,5212086807.255956,4980003139.53576,1655496029.467123,207023723639.7737
13584845872.653208,2037,288662475199.7934,2048.0,50_percent_of_peak,14,6519267693.092348,12311493985.59109,8705488934.830183,5551970039.466126,3645657952.8254533,1056340774.2943255,221851269722.4788
14708807379.406345,2039,307565649391.47003,2051.0,50_percent_of_peak,15,6054511140.687347,11766686278.399782,11725998008.3309,7967884712.03791,4968194759.236488,122176456.8913624,249520832512.1814
8540585897.477673,2040,207201216496.07562,2052.0,50_percent_of_peak,16,3726251599.0416713,6698916864.14921,6918485525.666656,4808268006.882549,3581800683.047483,178648252.52078414,146147912397.26202
16518090708.735006,2038,372874946567.7997,2049.0,50_percent_of_peak,17,7991722566.731353,14122906567.688662,10952654129.380585,7248785019.557371,5457466518.011241,245334548.1536613,272452523582.28748
8541386426.707057,2034,161041866620.69107,2045.0,50_percent_of_peak,18,5466347010.701089,8541382615.708026,4191064283.4338207,2847475000.938282,1988034803.4142406,173029228.8124156,135287598292.19777
14599550191.149488,2039,347940891580.1799,2052.0,50_percent_of_peak,19,6120345526.870226,12115625675.428495,11425413687.082357,8284266043.440264,6043067504.371659,87381554.34843732,249623394472.1217
10939626071.937614,2036,256118802249.85217,2049.0,50_percent_of_peak,20,6372850733.210223,10850547638.801563,6391770198.285342,5319798135.620409,4808514960.4894495,316534027.22675747,181617872971.94403
6836820202.991063,2037,137557413557.11884,2048.0,50_percent_of_peak,21,3549994983.3266416,6295842720.014695,4142490754.6557426,2687403481.2610455,1843975962.662278,101469718.80295485,111411289364.73169
3430763057.1575685,2038,116881014620.14723,2071.0,50_percent_of_peak,22,1998213554.5367286,3003065065.2607613,2341790179.8080664,2223490199.0888095,2402064884.3085904,552234798.445713,60874413940.09775
5739609488.910091,2041,148681317205.69678,2056.0,50_percent_of_peak,23,2785352870.355676,4551514153.748277,4834459842.487573,3589080130.44226,2934127184.5477505,329279265.64259744,101981234025.09805
7406630532.700474,2035,160026896872.8149,2046.0,50_percent_of_peak,24,4698842088.319481,7406630532.700474,3739623674.3566537,3000120188.7447205,2636070752.8147745,289746527.3572114,118173945762.04713
10637725231.995804,2035,234306015466.30298,2047.0,50_percent_of_peak,25,6738477157.188133,10637725231.995804,5885978788.91228,4625518944.780294,3921990795.1266394,254896341.84840375,175711126770.6627
18318341851.348804,2037,375523527495.37274,2049.0,50_percent_of_peak,26,8657500721.207088,16544951611.065102,12480621832.520529,8344546100.235119,5471923171.099386,297741149.3291807,305922442642.3141
8391572406.995921,2038,183200289911.1171,2049.0,50_percent_of_peak,27,4163109646.869208,7216167856.948963,5520061799.665338,3676696339.5460234,2767736394.1611714,90777422.53291944,138856826933.07666
10015094083.418022,2035,244600314258.68436,2046.0,50_percent_of_peak,28,5970750150.762851,10015094083.418022,5315234754.634958,4187007953.3704567,3818824034.238486,1080743030.0132513,160841720035.49454
15663392876.636702,2037,307238867090.7934,2049.0,50_percent_of_peak,29,7719114948.489485,14910096087.828415,10186073221.371883,6611312040.379957,4053915498.2305627,176135375.45156312,259697272902.38535
14931494841.840614,2036,272164127626.9739,2045.0,50_percent_of_peak,30,8815712084.154198,14886491824.033482,6877830842.519565,4427863696.412495,3202691066.746494,246558802.88199347,228062722703.5897
9269202244.450378,2035,208379610018.43814,2044.0,50_percent_of_peak,31,6003376755.806977,9269202244.450378,4078077409.1472926,3539203114.477275,3567006397.7412453,71793905.66046578,141968286996.3996
10964086946.300018,2035,203502304295.9709,2044.0,50_percent_of_peak,32,6652232166.516081,10964086946.300018,4806218627.261493,3084442993.896317,2303651451.2617726,112629964.44687326,165126927907.24203
