Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2055,1735156995.0151305,2640843250.179402,4449235468.609016,1897043066.7171142,2791924205.951862,5350800438.967148,0.05703146535060204,0.14119815855362056,0.2561147613720398,1.0,1.0,1.0,41670348.98059518,113402968.12813985,304291557.33085525,1929584.2875596483,27182733.726154283,138568472.9876727,5155059.493051642,16846996.433609117,40092707.753267445,16925680.09123081,39269674.95675608,75932186.86792341,306336973.92862004,593599402.671675,1012763682.9439839,36112596.70583148,63955738.012805775,117294173.48296018,1208297.8859985608,4176796.2318982207,13008752.488342596,76065.33871525846,975046.3519858294,6484069.695821954,175886.60858373877,644502.8054424693,1827505.4429917394,543721.5508251429,1356288.1044909041,3446867.491914888,7981060.363451291,21136787.870393075,45412243.50592965,806647.12471396,2301847.0863449406,4777223.232369208
2056,1744727368.2793996,2623480561.3866253,4468233545.0202675,1894274775.8898518,2787158797.5398116,5331256415.056324,0.05931272396462612,0.14684608489576537,0.2663593518269214,1.0,1.0,1.0,45260236.71812038,122704098.17458615,329325328.4846098,1518629.134330974,23521388.953694314,126625803.10808098,5589707.799136393,18272174.37796864,43645735.219159275,17470713.272945266,40534219.46966238,78377321.19517583,306338320.18307906,593678451.5159426,1013170776.4423795,37275478.396638565,66015212.089482665,121071228.00752886,1307651.677128688,4520146.101850925,14135301.647733033,62583.44354314196,843671.2470655515,5787109.573403273,190289.83541280212,697901.2028174275,1977006.1097661748,561230.2290711936,1399962.6875462192,3557861.9775686623,7981462.662727759,21139486.620069616,45430420.966705434,832622.4147190838,2375970.1369123883,4931057.238687655
2057,1781755399.354199,2614409026.880762,4453603258.659215,1902002763.2467985,2823641147.3580923,5385243186.613168,0.06168523292321117,0.152719928291596,0.2770137258999983,1.0,1.0,1.0,49075371.269350864,132577188.63121971,355925436.6945945,1194469.1759244145,20170490.883712433,115688249.49757776,6056404.822297332,19787706.167398,47568894.56595755,18015680.903146207,41798611.89493528,80822161.44445044,306339275.0872698,593740861.7736123,1013505403.3437527,38438220.2268694,68074438.47180384,124847828.26316671,1413056.7559671311,4883216.2975912485,15336445.326030364,51438.285604156365,736314.0069702517,5159834.1312226225,205556.34841655102,754603.8846845101,2135632.308977107,578736.8015365374,1443632.0178295607,3668843.1138397376,7981768.903520181,21141611.496473692,45445351.46231173,858594.5806583138,2450084.2726498498,5084872.743284954
2058,1815597983.1187296,2635477890.530115,4369091651.961053,1918178419.3765802,2871630393.909837,5296924670.927418,0.06415264224013961,0.15882872542325985,0.28809427493599826,1.0,1.0,1.0,53128223.44818262,143053648.31603026,384146707.6888486,934353.2863390975,17106187.062959258,105544750.20364593,6553160.198756267,21413221.582895767,51751038.36017748,18560581.62214257,43062849.077923045,83266701.51588508,306339953.4341436,593790140.2009983,1013780479.2950382,39600819.29548987,70133412.0220115,128623964.82727806,1524838.045141246,5267181.099992963,16613642.09748681,42243.28357482725,641576.4940455818,4580666.00165487,221731.8741070013,815033.2343097336,2303863.961156986,596241.2245423776,1487295.9863862037,3779810.6238308246,7982002.0248746155,21143284.554239787,45457615.05298865,884563.5577312474,2524189.30864299,5238669.362392316
2059,1852615226.8861575,2662700393.5776467,4436492335.949266,1884464578.9744961,2894892311.465685,5332475941.437178,0.0667187479297452,0.16518187444019025,0.29961804593343816,1.0,1.0,1.0,57431993.89462963,154166368.05952823,414077307.2181919,729918.8552785899,14660381.475532953,96168123.37788284,7081301.324875427,23140794.69772543,56207393.01732527,19105414.03301907,44326927.77760915,85710935.14262189,306340436.06717104,593829053.4821064,1014006615.4512173,40763272.6220444,72192127.4616916,132399628.01930527,1643340.3757598582,5674436.281102264,17971200.30894716,34671.23955601968,544406.8799331952,4061662.597627209,238879.56255272578,879158.1908158802,2482238.9174146685,613743.4532141256,1530954.4812785746,3890764.2230640277,7982179.487277058,21144601.883546576,45467688.16089679,910529.2793634437,2598285.054915078,5392446.70173453
2060,1881110233.847833,2691012089.7823267,4372335350.705621,1847420729.3399491,2921727986.2457914,5463703180.588796,0.06938749784693501,0.17178914941779788,0.3116027677707757,1.0,1.0,1.0,62000538.69785283,165950053.3832671,445942976.1748974,569543.6629879682,12309516.009694334,87525841.70940119,7642598.820786801,24976153.03205204,60953976.68993922,19650176.700375758,45590844.66368784,88154855.8851525,306340779.9950515,593859784.6267695,1014192530.0658096,41925577.14396653,74250579.36701107,136174807.89199358,1768923.1429630087,6106257.274318786,19413624.47210871,27701.988373170814,454011.03607675456,3637947.8944355585,257035.97088619464,947181.0353823829,2671303.284559127,631243.4414409078,1574607.3874852452,4001703.6192241535,7982314.581254412,21145639.134609565,45475962.08904312,936491.6771463518,2672371.3162555704,5546204.356174195
2061,1902463615.564823,2739163580.3267612,4383048736.030742,1837189683.5142841,2955501452.0346985,5602459385.7442255,0.07216299776081242,0.17866071539450976,0.3240668784816067,1.0,1.0,1.0,66848325.58907896,178728412.43755662,480481174.9011292,444109.0278352404,10331186.051508013,79573220.77947812,8250190.327393597,26925352.953686498,66011097.80456656,20194868.14901687,46854596.31352217,90598457.1254362,306341025.4731925,593884056.2720218,1014345386.5045266,43087729.713781595,76308762.1637635,139949494.22230515,1902067.5019107857,6567051.72145009,20945657.14059041,21589.686316718722,378390.5628543779,3304300.579583928,276253.6982542858,1019314.6634132557,2872766.837820696,648741.1418334479,1618254.586795872,4112628.511891704,7982417.423370346,21146455.866477467,45482758.230713196,962450.6807748247,2746447.8920418,5699941.909341663
2062,1926296168.7886548,2789053351.795414,4467292216.209593,1853876739.497127,2994375420.35836,5711219932.448292,0.07504951767124492,0.18580714401029017,0.33702955362087095,1.0,1.0,1.0,71990622.25758275,192438574.16324103,517123257.26639545,346144.78491391375,8716018.410696207,72280454.64824583,8895738.95340063,28994757.865549482,71393523.75135083,20739486.86258672,48118179.20897907,93041732.06078012,306341200.9667643,593903227.9003229,1014471070.8452752,44249727.09619618,78366670.12221481,143723676.50196585,2043077.4148150166,7055381.831072368,22572314.852457915,16809.832316998793,320583.7262839294,2998710.5931578334,296588.63745613646,1095782.0481893015,3086186.135023994,666236.5056802463,1661895.9577018851,4223538.592265078,7982495.714300681,21147098.970390677,45488340.56091119,988406.2179821094,2820514.5760534634,5853658.933250019
2063,1952101668.5554593,2842379434.193013,4555540094.621401,1871349450.6979709,3032551879.705372,5794705641.697358,0.07805149837809472,0.1932394297707018,0.3505107357657059,1.0,1.0,1.0,77443537.84781617,206980585.8843086,555985128.9485337,269563.6644653202,7347558.39433424,65607847.12017279,9581377.343960002,31191067.17347815,77120098.73808756,21284031.282150116,49381589.73313572,95484673.69747071,306341326.63287574,593918372.4998995,1014574419.8710935,45411565.9650693,80424297.35173899,147497343.9276274,2192376.6641927087,7572736.126548786,24298857.38531371,13077.485413127895,271355.4045158962,2719441.652645971,318098.86832257523,1176818.4909093913,3312198.220968528,683729.4829019761,1705531.3752827349,4334433.542871474,7982555.315828135,21147605.36467904,45492925.89557874,1014358.2144721895,2894571.1562795546,6007354.987894407
2064,1979457515.992372,2901561548.100116,4647160630.254402,1888767034.7021427,3076182913.9241056,5878386930.85185,0.0811735583132185,0.20096900696152986,0.3645311651963341,1.0,1.0,1.0,83224673.23725846,222400061.52955776,597733131.8871603,209781.60960472873,6190072.803512025,59347093.64608058,10309371.245953666,33540713.497096367,83210716.47531788,21828499.804714724,50644824.16685133,97927274.84414473,306341416.76654667,593930337.0204024,1014659408.3281553,46573242.900259785,82481637.79523483,151270485.39062786,2350804.7180787143,8120674.1284987535,26130839.98553622,10167.094729102137,225459.87560804957,2457741.983277058,340845.70230081433,1263199.7149253204,3551474.0660862783,701220.0220040166,1749160.7110874867,4445313.037265983,7982600.690015714,21148004.116241142,45496692.31753563,1040306.5938493671,2968617.414717418,6161029.620834975
