peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
18462499433.02878,2036,438126464756.128,2047.0,50_percent_of_peak
9645008360.450891,2040,219798712629.42554,2053.0,50_percent_of_peak
6539976616.421957,2037,131405984396.87996,2045.0,50_percent_of_peak
3880792244.2721434,2040,83442958229.13396,2050.0,50_percent_of_peak
9214497148.152674,2037,193204422723.61465,2046.0,50_percent_of_peak
6192961231.327068,2039,168214232177.1955,2050.0,50_percent_of_peak
5260903597.059414,2036,128141433437.16257,2044.0,50_percent_of_peak
20840699857.165337,2038,405377006474.2903,2049.0,50_percent_of_peak
4117006173.008186,2039,139950118540.38852,2071.0,50_percent_of_peak
6185064360.065532,2034,139487491233.07874,2043.0,50_percent_of_peak
8584399623.994239,2036,295171436137.16406,2049.0,50_percent_of_peak
13583425863.006662,2038,397625258504.3395,2047.0,50_percent_of_peak
4394012275.06471,2039,121667052407.66875,2049.0,50_percent_of_peak
10403833914.298855,2038,218318768726.8969,2048.0,50_percent_of_peak
4370131517.964545,2036,156517964372.70325,2043.0,50_percent_of_peak
4278286171.00714,2034,82030164691.58667,2043.0,50_percent_of_peak
29273894109.84337,2041,777877733550.3442,2058.0,50_percent_of_peak
7750116471.604399,2036,147642406249.23956,2044.0,50_percent_of_peak
7495627617.608337,2038,212028365561.95615,2045.0,50_percent_of_peak
3169694821.6169195,2040,121635654516.90224,2078.0,50_percent_of_peak
9830058871.505787,2037,382793939112.2734,2048.0,50_percent_of_peak
6113997827.679242,2040,144582751856.95114,2055.0,50_percent_of_peak
7424040996.7166,2036,130370428484.87492,2045.0,50_percent_of_peak
4559686716.954141,2039,128638688232.15085,2063.0,50_percent_of_peak
7281412258.074186,2033,187539420403.77872,2045.0,50_percent_of_peak
10414184128.814165,2037,228189169777.29498,2049.0,50_percent_of_peak
6400765130.076212,2034,169821792913.88342,2041.0,50_percent_of_peak
12732734045.635683,2037,283568766751.2011,2049.0,50_percent_of_peak
7486055885.45756,2078,362690395523.75146,,50_percent_of_peak
23516258235.131844,2040,570979700445.6062,2051.0,50_percent_of_peak
5027286411.564436,2035,115163895501.42886,2041.0,50_percent_of_peak
9402718195.924747,2040,169567252162.1702,2049.0,50_percent_of_peak
5992160905.837723,2034,104062417772.94714,2042.0,50_percent_of_peak
4127629996.384798,2036,87895648593.05652,2045.0,50_percent_of_peak
12871380937.097181,2035,219889697524.8486,2042.0,50_percent_of_peak
9701344923.493185,2036,238828770001.89,2046.0,50_percent_of_peak
3283828111.9620094,2038,88227160171.17172,2048.0,50_percent_of_peak
3312052641.638434,2035,149831914985.41025,2083.0,50_percent_of_peak
12099639502.567436,2038,307221558064.4203,2049.0,50_percent_of_peak
16437532860.528154,2038,310598057334.93134,2048.0,50_percent_of_peak
2557013289.917123,2037,54839864219.955185,2052.0,50_percent_of_peak
5281951323.502282,2037,157505561590.78976,2068.0,50_percent_of_peak
6469697163.653508,2039,165983802857.9339,2054.0,50_percent_of_peak
4143905532.801765,2071,185533642018.81448,2087.0,50_percent_of_peak
27260051152.946415,2036,549624328154.47186,2047.0,50_percent_of_peak
5800372507.060822,2036,228783003565.83188,2078.0,50_percent_of_peak
3843960526.588029,2036,99439356089.17514,2059.0,50_percent_of_peak
7379197118.543862,2035,143116898351.70627,2043.0,50_percent_of_peak
5021160244.829025,2037,140981940808.743,2048.0,50_percent_of_peak
3616475131.535997,2036,84353559328.80478,2045.0,50_percent_of_peak
3256325883.4010735,2036,76600110495.86218,2056.0,50_percent_of_peak
7439822287.179379,2035,275784003137.4874,2076.0,50_percent_of_peak
11182482109.902683,2037,254990036527.1819,2052.0,50_percent_of_peak
7155155322.011035,2036,247747758267.66614,2075.0,50_percent_of_peak
15007505691.22225,2036,361588076102.06726,2048.0,50_percent_of_peak
15688328873.0628,2038,339626320208.98425,2048.0,50_percent_of_peak
6394816701.021258,2041,148935782435.8712,2051.0,50_percent_of_peak
6494088989.576719,2033,112710977125.92657,2041.0,50_percent_of_peak
6289997377.925387,2075,285708649435.86505,,50_percent_of_peak
9421745531.962315,2037,446536914707.1484,2087.0,50_percent_of_peak
