peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
41535378218.55661,2074,1742314321743.31,2089.0,50_percent_of_peak
38190722764.45068,2073,1548723470873.5122,2088.0,50_percent_of_peak
16360542271.807732,2057,477362762926.45184,2068.0,50_percent_of_peak
22840575687.845596,2064,854328058991.6201,2079.0,50_percent_of_peak
16275687549.057545,2055,477521108024.2234,2066.0,50_percent_of_peak
11970690682.157627,2054,312378929379.3954,2064.0,50_percent_of_peak
19591778706.01286,2079,786701254777.7323,,50_percent_of_peak
24577932193.579254,2066,987194962451.1752,2082.0,50_percent_of_peak
9458942218.978273,2054,286364401506.86884,2066.0,50_percent_of_peak
15614332831.260817,2062,580388094872.9291,2077.0,50_percent_of_peak
26390468853.806618,2071,1077409885775.8574,2086.0,50_percent_of_peak
20343246810.502235,2059,672415433193.4824,2072.0,50_percent_of_peak
22410483722.06932,2076,959266289764.8834,2092.0,50_percent_of_peak
5553844894.232427,2045,115768813427.8663,2055.0,50_percent_of_peak
24058402427.341606,2056,818203930013.5836,2069.0,50_percent_of_peak
14151501408.516138,2053,384792125836.45355,2064.0,50_percent_of_peak
38703699716.26093,2080,1578709445365.7485,,50_percent_of_peak
16235269589.870419,2045,389676432748.5484,2057.0,50_percent_of_peak
8990276843.700972,2054,253135955555.47864,2065.0,50_percent_of_peak
14675657567.026863,2054,439351610254.70776,2066.0,50_percent_of_peak
11515732714.464136,2052,354526617330.4132,2066.0,50_percent_of_peak
8400944512.855316,2047,212006315646.21918,2057.0,50_percent_of_peak
16831326715.421717,2065,631406093995.6896,2080.0,50_percent_of_peak
25321360848.07604,2062,862848784609.9365,2074.0,50_percent_of_peak
21514204190.487843,2075,861638492187.2905,2089.0,50_percent_of_peak
9006038386.979055,2053,282093786352.97955,2066.0,50_percent_of_peak
20362559865.650032,2052,626003660711.4845,2066.0,50_percent_of_peak
10530161640.85009,2046,235618135512.43387,2056.0,50_percent_of_peak
17417963308.269226,2055,497405515761.4376,2067.0,50_percent_of_peak
30612499161.796593,2074,1246531436066.211,2088.0,50_percent_of_peak
17269186306.22875,2062,599027204382.5547,2075.0,50_percent_of_peak
39835142558.625984,2088,1466620077359.2485,,50_percent_of_peak
31023882738.788975,2062,1068755635640.942,2075.0,50_percent_of_peak
13945014220.838133,2059,432297183530.93146,2071.0,50_percent_of_peak
6249194912.617615,2047,151370350339.40695,2057.0,50_percent_of_peak
31902860235.578163,2069,1267031378448.6719,2084.0,50_percent_of_peak
21858373672.117985,2054,624177373045.331,2064.0,50_percent_of_peak
21503169785.879295,2057,718997759827.7056,2071.0,50_percent_of_peak
19719479365.143173,2064,697580158981.5105,2078.0,50_percent_of_peak
