Year,New Cars,New EVs,New ICEVs,New CAVs
2065,2939674.8397251517,2603075.8944620676,336598.94526308385,1063499.4241244886
2066,2940228.254367709,2785815.55790293,154412.69646477926,1089639.9433385131
2067,2940790.117752269,2940790.117752269,0.0,1115793.4332265393
2068,2941363.5933103934,2941363.5933103934,0.0,1141961.3455843814
2069,2941953.1993150525,2941953.1993150525,0.0,1168145.7818056785
2070,2942565.3895251416,2942565.3895251416,0.0,1194349.7883238788
2071,2943209.3826777376,2943209.3826777376,0.0,1220577.7859904056
2072,2943898.347476706,2943898.347476706,0.0,1246836.1939264503
2073,3008084.0954339765,3008084.0954339765,0.0,1300559.9041711516
2074,3008761.3106424175,3008761.3106424175,0.0,1327397.6456376456
2075,3009441.6430745386,3009441.6430745386,0.0,1354248.7393835424
2076,3010125.854447618,3010125.854447618,0.0,1354556.634501428
2077,3010815.0317806527,3010815.0317806527,0.0,1354866.7643012938
2078,3011510.7268073186,3011510.7268073186,0.0,1355179.8270632934
2079,3012215.155136749,3012215.155136749,0.0,1355496.8198115372
2080,3012931.4807696566,3012931.4807696566,0.0,1355819.1663463456
2081,3013664.2225492187,3013664.2225492187,0.0,1356148.9001471484
2082,3014419.8348057903,3014419.8348057903,0.0,1356488.9256626058
2083,3015207.5368489437,3015207.5368489437,0.0,1356843.3915820247
2084,3016040.4979562536,3016040.4979562536,0.0,1357218.2240803142
2085,3080370.5302144773,3080370.5302144773,0.0,1386166.7385965148
2086,3081192.3182924874,3081192.3182924874,0.0,1386536.5432316193
2087,3082017.512739908,3082017.512739908,0.0,1386907.8807329587
2088,3082846.875852309,3082846.875852309,0.0,1387281.0941335391
2089,3083681.4952281713,3083681.4952281713,0.0,1387656.672852677
2090,3084522.92318172,3084522.92318172,0.0,1388035.3154317741
2091,3085373.375903897,3085373.375903897,0.0,1388418.0191567538
2092,3086236.017978348,3086236.017978348,0.0,1388806.2080902567
