peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
6721503098.600087,2080,328969475016.7364,,50_percent_of_peak,22,3556726491.344959,5551341438.5850525,3339012861.927084,3428789544.66434,3930032323.7186785,6459634485.965681,94951439140.47633
7170765084.469271,2037,321547362646.4671,,50_percent_of_peak,23,3766972011.4799166,6418564424.039001,4707234803.186958,3880134954.74831,3860395434.0157394,5402219460.862398,121804091003.84146
6592172289.866771,2038,222135808313.63394,2048.0,50_percent_of_peak,24,3507591929.8063245,5761803472.354827,4087217148.458739,2931145975.161993,2633626518.003299,3077760990.6431255,109076583447.07954
8159267193.357255,2039,392340206325.54315,,50_percent_of_peak,25,3729117767.9038944,6743218098.920696,6412555012.781103,5319679989.774881,5096595153.903697,6732427576.225803,142984365938.94217
7654740144.492694,2035,257170827068.96478,2045.0,50_percent_of_peak,26,4778218842.093688,7654740144.492694,3558644137.738598,2845726329.8460746,2842035815.205718,3821347076.2156615,118974465362.60117
5853954365.229833,2039,196328923466.32037,2050.0,50_percent_of_peak,27,2933103773.751566,4903948827.47158,4040437787.200003,2797298629.115351,2368038903.009756,2604721412.1511774,98439534573.84882
6517309355.827441,2037,209027655013.5177,2045.0,50_percent_of_peak,28,3936876897.6787663,6037078417.364999,2994294957.730477,2150239847.2276444,2081232103.3179624,2934514541.008979,101104493187.70474
9610601575.166527,2041,264103051634.39786,2055.0,50_percent_of_peak,29,3712271678.2033763,7159828467.999631,8528024862.338327,6364660589.279313,4762733106.68493,1909127832.345992,165901732029.41782
6151281232.247781,2038,233370913252.93073,2049.0,50_percent_of_peak,30,3100261255.765588,5447674029.028544,3973543760.4547715,2934569607.2104445,2603423982.1508265,3416796646.061067,102285391852.4527
4331567769.092711,2039,222332519379.90573,,50_percent_of_peak,31,2083164014.8724012,3543551828.2463403,3272604961.629934,2600460160.84484,2519653121.6626406,3903584731.6360617,75039693632.34958
8045014813.819525,2037,383173822600.53326,,50_percent_of_peak,32,4284307110.3135614,7491542481.462083,5154092688.720762,4359972122.688284,4398214910.694787,6598581181.022683,136007751970.37436
4664307426.379072,2034,199199286791.1456,2044.0,50_percent_of_peak,33,3156918680.1276865,4607697106.576222,2242118397.6174836,2203481166.2909784,2464324683.7204905,3512793186.9981437,73699072193.32161
