Year,New Cars,New EVs,New ICEVs,New CAVs
2076,918743.3760292791,99374.53087385355,819368.8451554256,275623.01280878374
2077,918799.7354238965,104846.56138496398,813953.1740389325,275639.9206271689
2078,918857.4366144706,110620.06883349821,808237.3677809724,275657.2309843412
2079,918917.0318441372,116711.74181527151,802205.2900288658,275675.1095532412
2080,918979.3100089077,123139.2326184594,795840.0773904483,275693.7930026723
2081,919045.3980802596,129921.23298002707,789124.1651002325,275713.61942407786
2082,919116.9059945382,137077.5655208429,782039.3404736953,275735.07179836143
2083,919196.1336379498,144629.29755857502,774566.8360793749,275758.84009138495
2084,919286.3665393367,152598.88732586228,766687.4792134744,275785.909961801
2085,929605.8697169386,162799.0493421106,766806.8203748281,278881.76091508154
2086,929671.1210310366,171765.05281968985,757906.0682113467,278901.336309311
2087,929736.8785011768,181224.94821582484,748511.9302853519,278921.06355035305
2088,929803.3315926995,191205.98586925547,738597.345723444,278940.9994778098
2089,929870.7509428803,201736.94182756694,728133.8091153132,278961.22528286406
2090,929939.5231489744,212848.21448101886,717091.3086679556,278981.8569446923
2091,930010.2004651725,224571.93290911347,705438.2675560589,279003.06013955176
2092,930083.5717985686,236942.0808259068,693141.4909726618,279025.0715395706
