peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
3023979173.375626,2092,110379389871.42804,,50_percent_of_peak,38,510994968.8844581,836930902.3273584,908003319.0429343,1018309060.5431271,1242690690.3067193,2441486013.6336856,19599139344.94133
2179999923.6818943,2037,88607271990.05511,2052.0,50_percent_of_peak,39,1068212514.5249531,1979162741.2134914,1516148346.7233083,1167053076.5489786,1023567977.7788109,1299415259.2292702,37213753913.562675
2084603745.7530818,2092,86853300708.68321,,50_percent_of_peak,40,580648296.7857677,994528010.1543025,955374892.7927214,896153030.2959151,978909657.8000426,1736958493.3292377,21542680120.676216
3539225680.186756,2092,161656723900.1498,,50_percent_of_peak,41,986582483.5830146,2033721439.5165584,2133137057.5490513,2019085670.877551,2045330265.540549,3063246946.2407055,43735866438.5458
1562055813.1516669,2092,72005508987.98178,,50_percent_of_peak,42,533919660.265565,931798905.7109054,918550605.506288,822269129.7231525,847576980.5886973,1359764972.416369,20301558171.95941
1670039049.3822148,2037,81346961954.21436,,50_percent_of_peak,43,784695904.1491768,1553207445.6774652,1322262526.6757615,1101627055.9577172,1006648334.7249007,1304005612.6389623,30017779340.61409
1405954668.0315783,2090,71752968785.00574,,50_percent_of_peak,44,423370338.0654722,837873530.4753301,1247366271.5749931,1102233046.5587015,1005514801.2654724,1232433478.3972404,22060089239.17548
1516709519.7058494,2040,76535468120.53188,,50_percent_of_peak,45,606688109.4959953,1145057868.9793196,1364116611.8712199,1143465417.0028322,1030270994.2355249,1238022829.5999944,26977473936.996254
2495021147.3117943,2092,126293225816.15236,,50_percent_of_peak,46,909507202.9816275,1843049613.6736274,1948091932.5884118,1725174344.9859545,1633654435.6301832,2184316922.343304,40171295557.44553
1737627440.800845,2092,70029980853.68321,,50_percent_of_peak,47,531957063.3554118,836657016.9678051,580009309.9345553,656862742.0072494,792718714.2529666,1480473882.45723,15229619910.916275
1390709847.7435713,2037,66689725185.27053,,50_percent_of_peak,48,725403461.2845722,1285626470.0464752,919609211.0021831,769108686.3190572,759472800.0314853,1127290485.4171362,23681387275.191277
1618482189.9694817,2092,77134723212.44878,,50_percent_of_peak,49,851169104.4119719,1404480456.5021477,846567595.6574302,779525255.4786996,841072285.1531619,1416952818.2538497,23968363787.942314
1803415036.6003594,2088,77895993079.11003,,50_percent_of_peak,50,440660647.07225585,775910309.8130151,889366564.8408376,855264288.5026029,936102214.8372108,1587628054.1289732,18322214861.575153
1569552015.6606116,2036,73039000819.56145,2048.0,50_percent_of_peak,51,928840498.0665658,1557741648.0852892,883730848.8918463,744337233.4575177,759057830.2860687,1250155430.8266025,25858501308.099556
1238765479.6069486,2090,52361863659.11584,,50_percent_of_peak,52,295835379.68705624,503394914.3226231,610893980.5140752,577905062.3727629,624874243.9525421,1062470130.8555293,12254574637.014702
844028034.8863776,2084,40427114595.9226,,50_percent_of_peak,53,344714940.92591214,546273626.154708,440518324.84439147,438390987.47170573,492081033.6183641,785247960.486899,11011493018.72057
