peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
15971361215.324238,2036,283079679448.26904,2045.0,50_percent_of_peak,12,9082151383.102835,15763873210.489227,7787472880.267973,4724728016.737128,2986263273.0012527,239344199.7781524,246290062532.1265
8355010426.699182,2040,148673458987.23566,2047.0,50_percent_of_peak,13,4962303552.609863,7609278719.235314,4928841694.379035,2211994875.5371614,421731977.2541447,103772820.11291136,139334200771.157
13848016236.778158,2037,232809371153.8905,2046.0,50_percent_of_peak,14,7640443324.839621,12688634203.050161,7115318444.061334,3954735505.763475,1377078931.462511,121465014.33777297,215640692664.50977
9652283362.316961,2035,172041123465.6657,2044.0,50_percent_of_peak,15,5937893180.971699,9652283362.316961,4291244376.6808996,2999816159.9459753,2091367522.6080089,210728242.682961,146866457257.61627
7403714491.883665,2037,147680377800.8168,2047.0,50_percent_of_peak,16,4551638882.488598,6854477559.548992,4117728714.87585,3061683464.1068006,1314453630.339301,414258932.3678746,122049532129.1215
19483993818.11321,2038,406477509042.1081,2050.0,50_percent_of_peak,17,10003558643.812105,16845519888.251032,13047179062.77951,9518248597.860083,7139601396.69293,300832686.38599575,328503400614.3553
8788312222.704515,2035,189618887735.79205,2043.0,50_percent_of_peak,18,5988445967.286407,8788312222.704515,3930894058.799602,3802598634.662774,3750221399.0494227,305971241.9570254,135863074852.16458
12859436627.868559,2040,279485820321.4335,2052.0,50_percent_of_peak,19,5844810499.666972,10240775503.656464,10356095468.333265,7344163013.405268,5055105730.982604,322540551.54444885,222236847830.90616
6968061431.789677,2034,154259630527.83102,2053.0,50_percent_of_peak,20,4814890723.24194,6775675562.151222,3967614044.976822,3684062463.504338,3164220816.468801,244868526.1181864,116814759756.38806
11429975642.283491,2038,201833980222.05457,2046.0,50_percent_of_peak,21,6199648888.11671,10228126449.58575,6264065822.181145,3113398697.096688,756775593.6062224,358240122.0531204,180587122288.49597
14915849293.388432,2036,228527427356.7021,2044.0,50_percent_of_peak,22,8651520216.22987,14300179493.982683,5850767957.945036,1442051483.9953182,267603159.8456635,347253626.3804471,214445947238.8663
20419046366.66032,2038,385601207990.63873,2048.0,50_percent_of_peak,23,9398710764.457842,17678585148.63599,13519031278.733932,8224422648.984619,4660225579.253097,214674296.12345147,332156480643.9526
17126832246.604908,2036,273388325446.94092,2045.0,50_percent_of_peak,24,9919399396.357529,16361817142.506487,7675074959.653523,3695474174.3535466,162424955.11847892,234895786.8720858,257378634769.39374
16471196113.402716,2037,297032386258.02954,2047.0,50_percent_of_peak,25,8485536531.495714,14839115537.723885,9491422943.578617,5546800645.918146,3012139186.8314137,215503225.33256572,262560572103.55417
20920490333.030964,2037,340041532096.31396,2046.0,50_percent_of_peak,26,10876239184.364777,19551581080.057285,10958017482.420828,5310631174.104191,887503848.8366189,130850451.0108782,322171283866.45886
9075736502.334362,2037,203671113982.76813,2051.0,50_percent_of_peak,27,5205625442.850944,8278257814.323104,5497269164.60532,4573717789.387828,3843040191.8480983,468435200.54058796,152571243554.1354
11515631776.754745,2037,256723361407.10254,2050.0,50_percent_of_peak,28,6133694612.524325,10360637660.38576,7216661168.217598,5644494380.52222,4890519598.402195,208906240.5112347,192418734689.66806
13189997057.535576,2038,247806577364.05704,2049.0,50_percent_of_peak,29,5927071260.361587,11349103914.475016,9007902263.3182,5425088897.887048,2655226905.2578416,239387063.5478794,215737346571.87167
13773417682.663658,2038,268081089258.68512,2047.0,50_percent_of_peak,30,7386881504.183828,12158084345.433405,8027510025.15587,5072468247.73591,3429759181.496497,398821166.04600364,222722572405.8293
15192150063.77181,2038,287954877759.0926,2049.0,50_percent_of_peak,31,7450523073.522426,13103712314.887993,10020991571.210186,6274925571.353936,3277279425.8527064,287430939.29194945,250428226589.31348
7488634872.311998,2036,154535438351.32242,2049.0,50_percent_of_peak,32,4621299883.571175,7145745528.316689,4405314210.062653,3448010932.4548016,1395328430.3887396,480491254.72917676,125467022054.20879
20436250254.8318,2038,435097837489.44885,2051.0,50_percent_of_peak,33,8834275890.934298,17231130097.355846,15429229250.161829,10805715841.644278,7256009777.390031,415348027.30140203,346702253640.26666
11759886694.899345,2035,195098815932.51608,2043.0,50_percent_of_peak,34,7591598643.735042,11759886694.899345,4419901181.76918,2872108639.542755,2062370862.7130175,134380659.1944753,170616247977.0569
10003007288.398663,2036,166670332819.99765,2045.0,50_percent_of_peak,35,5849970711.481295,9547172724.478256,4556033234.6373625,2375111248.0475307,459499157.19728965,248026427.65182787,151587921219.41556
23585520897.25055,2041,420987714489.94574,2049.0,50_percent_of_peak,36,10302521397.648743,19005707645.461998,18494318275.35309,9046740425.572176,1714983731.7033272,163114334.33269894,392092239009.62024
7513631199.039814,2039,133487149170.66603,2046.0,50_percent_of_peak,37,4546089729.944985,6777568737.280584,4231815071.6299753,2252205771.1788907,444151024.0856464,95353319.80808371,124002358380.80397
13543679519.5936,2038,297107785051.60645,2048.0,50_percent_of_peak,38,7491566820.9537115,11965410968.623104,8024501671.20759,5909495891.193045,5059793279.188654,468115043.4766323,223309866506.96924
13334795871.531895,2036,236226342050.16086,2045.0,50_percent_of_peak,39,7840481609.165524,13289284152.673573,6254752884.774275,3822558324.1054263,1891038989.8053417,468543386.393776,204529523597.81198
7974288402.166712,2037,135471387900.8279,2045.0,50_percent_of_peak,40,4536790325.463334,7398354317.322189,3806356918.9811344,1451907666.108572,236616515.33441305,339428676.73159957,121337085251.58595
14887109379.361763,2034,217217712124.50015,2042.0,50_percent_of_peak,41,10052342328.91873,14665695055.232666,4707690954.061427,2613613483.3497996,448997884.6323803,136757882.64835876,205478413093.20352
11272726612.82786,2036,210761186179.1968,2048.0,50_percent_of_peak,42,5917821410.762858,10978322499.470232,6717535372.520576,4481091809.67978,2633802928.798558,133649665.44844887,183550996607.3169
12811195806.320278,2038,227981034886.01367,2047.0,50_percent_of_peak,43,6472731401.4016905,11256615955.734169,7558866538.560737,3701828676.222388,985837132.5561194,388784915.3368835,203552992148.2951
6950273215.935877,2036,123802559907.00237,2045.0,50_percent_of_peak,44,4745417768.476935,6721010337.955212,3367911722.5959682,2305603937.1181984,143949533.9823615,235342592.7864346,110468555677.05711
6246929890.227971,2038,109301273175.46225,2047.0,50_percent_of_peak,45,3752290129.0790815,5657881713.561284,3563316302.3533664,1570482207.3874872,103996527.84000875,165675084.05562532,101875975615.26877
9385556500.747713,2037,179403990922.51218,2048.0,50_percent_of_peak,46,5483739900.580042,8617589611.050865,5506201229.130137,4122750974.311227,2116589823.4291325,184344820.49531847,155779804639.18097
15496421344.961206,2037,275219978758.7593,2046.0,50_percent_of_peak,47,8119036307.23277,14016788360.829626,8545632963.317029,4940070466.656184,2787707961.2948213,156970034.16297495,244244979167.451
8976086100.915686,2040,172289313697.1653,2049.0,50_percent_of_peak,48,4513461000.166236,7554489132.754978,6360371525.63677,3722634150.9871445,1938562352.6246738,122557090.08828463,151264283592.86823
13309262749.179094,2039,239001318993.59335,2046.0,50_percent_of_peak,49,8438149963.254003,12312729572.686207,6660404919.130082,3478831017.353934,1199057064.8650413,326219697.2466737,216370858451.3692
16407713042.790543,2036,282384215727.62,2045.0,50_percent_of_peak,50,9179416454.221418,15572746777.39418,7858624296.947891,4411476858.734681,2477054794.7548833,254505436.65459877,251156876024.5196
8766885445.004772,2034,151695149273.89676,2043.0,50_percent_of_peak,51,6273634604.544644,8364683122.561387,3577352415.5187807,2867417858.179368,1923834157.8199081,156944700.8280139,130898729886.11496
10442315498.84345,2037,166840173723.44736,2045.0,50_percent_of_peak,52,5537008141.467243,9762708533.042063,5214788647.19269,1396254947.8205247,193411716.63155645,227996064.03396326,157223535056.07303
10215977839.66724,2036,264049123411.54352,2060.0,50_percent_of_peak,53,6287189579.406607,9706089416.326035,6700850800.62563,6775922386.096886,6592093149.469344,432114742.3168601,179865359677.00986
11621638822.995789,2037,198387313757.3996,2047.0,50_percent_of_peak,54,5686301775.580831,10605232850.593647,6716590203.552786,2553345273.5765786,362697853.00471926,366070926.765869,181029301099.45474
