peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
840554243.4518514,2092,34166561736.230183,,50_percent_of_peak,28,240550568.94455636,380203346.4516137,313962698.51084936,337078950.9814949,394291310.0320508,708816666.7329715,7661076765.714394
1228545139.371784,2092,54515183207.41971,,50_percent_of_peak,29,462981116.57736504,809502630.771829,583782022.9638296,562335650.8155327,616427174.1447855,1060697994.3252981,14776099502.607487
656280549.4677265,2092,32076308593.110897,,50_percent_of_peak,30,263022902.484566,469308760.03465337,468249237.3219002,397182810.6927134,382614097.4362957,564262758.8652961,10211394147.417118
1530719746.1784363,2036,70406174718.51375,,50_percent_of_peak,31,831346106.8304439,1508581952.7513235,1060499761.763217,867573951.5127487,803095354.9960488,1113755820.1942892,26887149249.323223
1274695763.0772026,2092,57990994407.492836,,50_percent_of_peak,32,451704652.4807213,808866571.9257637,660702816.65274,622564120.1561122,671145032.945512,1121662562.4120846,15827388298.23577
1327573318.6799803,2092,60295936065.87178,,50_percent_of_peak,33,549330288.0086114,807741077.6994122,576016742.7113583,623647434.7279047,721725714.1401548,1218706468.3645895,15073366984.928059
1417277362.2354321,2039,73459111519.6051,,50_percent_of_peak,34,583708881.5661381,1192903554.2631443,1236791887.6205263,1060192312.5087562,965009061.8399705,1189776319.227842,25676442335.844036
798050639.7685889,2038,35154943491.37992,,50_percent_of_peak,35,402474066.30363375,700417890.095134,575985514.9875652,453121597.0968458,408207788.22657096,538993781.3255765,13880505251.548027
717492173.0823739,2086,30050830059.158943,,50_percent_of_peak,36,181272855.36315516,278662387.6335754,255864682.13600928,309814194.35044515,376692172.1061879,649816767.3524158,5916131553.062502
792587125.6426239,2092,34372036688.65368,,50_percent_of_peak,37,288068399.1305099,425526077.3634207,291979992.3175903,343692652.10534084,414090935.38574576,716431714.3970895,7764733923.839562
703961747.6184584,2092,34581095161.57132,,50_percent_of_peak,38,331605884.4355732,563146381.011971,484201803.23555136,394992818.87545526,384925277.39055204,600863049.8304837,11530455314.820595
1677685962.6668077,2092,59633547595.17566,,50_percent_of_peak,39,204587213.63550377,336033024.68409824,469067383.0323539,561556955.1709226,696044532.8126458,1357254239.3811617,9083903093.76429
957509578.5372314,2039,49472210602.014786,,50_percent_of_peak,40,397079032.6192911,780811461.229512,821671122.3279504,694336536.988281,633040739.2990968,811826547.615118,17124633359.18097
1163163962.4021428,2037,55117046061.02821,,50_percent_of_peak,41,573455251.6071669,1114647782.5454705,921397310.8747758,771913568.3953148,698505455.580834,847919639.3047668,21202448090.357193
1093493100.5808125,2092,52362864135.71917,,50_percent_of_peak,42,452506957.50023395,770987315.9190246,679210082.187625,583078678.7550546,596136136.3684196,957530562.9302828,15996492910.760595
1552714847.4718757,2092,65645055304.122826,,50_percent_of_peak,43,325607264.16124654,607366566.5248529,734792702.3483628,736339112.2221186,808929830.9069321,1351811166.2909245,14640671392.528227
1385475810.322665,2038,60564741611.06301,,50_percent_of_peak,44,648988564.7747141,1241355874.7983522,1016992875.4477608,798061644.7053455,703979575.0727243,924992074.7576412,23956531101.03553
1893340996.6140826,2092,88093477523.69887,,50_percent_of_peak,45,844924859.9972826,1522183661.6895723,1081145374.910082,961323403.8086662,979574781.9655775,1603808126.337418,27299994384.45411
638933205.9233373,2092,29774589169.938526,,50_percent_of_peak,46,295792145.64736396,500643778.12206113,331694356.67197794,309051565.3360987,332463570.8614074,555970517.9544661,8853811008.302559
1617182152.8016164,2092,66951442480.944725,,50_percent_of_peak,47,469573383.4084779,709431934.8882293,561627502.5104755,665440498.4540077,805542995.1267656,1438205335.059341,13757064702.781141
1073554712.6760169,2092,47809948546.307396,,50_percent_of_peak,48,420138405.7677475,640162695.3904986,462867247.9940015,490795222.9330881,563337392.70327,966598195.2302985,11940028877.447922
