peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
3625978272.468986,2085,186743899390.68173,,50_percent_of_peak
1961153644.0828166,2085,102128187840.05428,,50_percent_of_peak
1820484453.6462588,2037,53971570811.950165,2067.0,50_percent_of_peak
2390914643.7529287,2086,105268875615.3541,,50_percent_of_peak
3042209852.9583955,2036,147216588962.35043,2086.0,50_percent_of_peak
3086693767.155808,2038,160792907410.06287,,50_percent_of_peak
5127844305.194239,2035,265972040949.92828,,50_percent_of_peak
2250062085.8625975,2092,87961714441.59637,,50_percent_of_peak
4342056221.073279,2037,179491273651.69452,2085.0,50_percent_of_peak
4685740149.493992,2042,227023710905.53372,,50_percent_of_peak
1232794512.7555606,2069,53126422372.18392,2082.0,50_percent_of_peak
3086588674.9417176,2075,148527220918.1072,2089.0,50_percent_of_peak
2652137896.2952023,2087,127427818044.16226,,50_percent_of_peak
5181196779.007716,2037,271940162998.80093,,50_percent_of_peak
4223595177.958353,2092,173383007656.71545,,50_percent_of_peak
2217585502.4528728,2081,110722603313.55396,,50_percent_of_peak
5037459937.26929,2041,184028644870.63037,2077.0,50_percent_of_peak
3228870299.5311346,2035,85670838814.82425,2059.0,50_percent_of_peak
1561123736.6974113,2040,46893188371.09428,2063.0,50_percent_of_peak
3337067553.877834,2092,126652885313.3893,,50_percent_of_peak
3474813823.5330806,2040,169422411647.8169,,50_percent_of_peak
3817837909.5351176,2083,186200911740.65466,,50_percent_of_peak
3111495829.271513,2087,155709380779.12808,,50_percent_of_peak
2783820152.83502,2085,129658535674.77086,,50_percent_of_peak
3416579802.212012,2039,144639422468.21082,2088.0,50_percent_of_peak
2115761035.160528,2043,101339548948.6677,,50_percent_of_peak
1694528363.6161876,2041,49297617820.451645,2065.0,50_percent_of_peak
5458404098.817219,2036,279803525297.70593,,50_percent_of_peak
2778869651.390811,2083,132675554000.80249,,50_percent_of_peak
4188419366.961641,2092,193972430773.1436,,50_percent_of_peak
6223540378.588046,2040,298959235613.24506,,50_percent_of_peak
2357022123.771366,2083,110911533804.03154,,50_percent_of_peak
1750490676.3662791,2037,56512004166.005295,2070.0,50_percent_of_peak
3361206185.3408666,2039,129193542084.27771,2080.0,50_percent_of_peak
1965385087.557058,2035,57526988684.49213,2067.0,50_percent_of_peak
1470782732.386012,2079,75047975326.57304,,50_percent_of_peak
3930966265.1577005,2038,163347952347.51694,2084.0,50_percent_of_peak
1449428657.0493758,2037,59069192274.82805,2081.0,50_percent_of_peak
1637674842.7012858,2035,75922199501.93294,2091.0,50_percent_of_peak
2134189993.0637667,2089,100931696217.58655,,50_percent_of_peak
2149132601.5053,2039,68593530859.43772,2071.0,50_percent_of_peak
1993578216.4991598,2040,97291899458.31627,2085.0,50_percent_of_peak
2785310471.5964723,2081,138066199194.36026,,50_percent_of_peak
3235215753.397168,2086,167200662672.7998,,50_percent_of_peak
4590708569.64842,2092,188016047704.59064,,50_percent_of_peak
4931998084.126463,2037,212848722652.39838,2087.0,50_percent_of_peak
2075551087.3358178,2080,97951910400.73703,,50_percent_of_peak
1094157378.1267724,2036,45022755091.29441,2075.0,50_percent_of_peak
4747102205.668646,2042,151022566064.71194,2064.0,50_percent_of_peak
2448002397.886458,2034,85059665334.00876,2069.0,50_percent_of_peak
4234591314.1990256,2038,177964849659.19522,2087.0,50_percent_of_peak
3335559899.0749965,2087,162001937056.6298,,50_percent_of_peak
