peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule,run_id,annual_emis_2030,annual_emis_2035,annual_emis_2045,annual_emis_2050,annual_emis_2055,annual_emis_2075,cumulative_emissions_2050
1825545041.9832342,2073,89329570938.503,2087.0,50_percent_of_peak,17,812794973.7129359,1360853339.2813694,1380191470.9816978,1266434113.2820387,1363056928.9599438,1808726392.4554012,30395582695.87446
2581930656.6713767,2085,120300533561.42767,,50_percent_of_peak,18,908735636.2740369,1615520128.885822,1429216974.2177968,1314911684.8953288,1401587627.7116244,2348438778.89805,33199662982.724274
3030023140.776802,2084,137713610195.0442,,50_percent_of_peak,19,1341573557.2447462,1945345547.1894758,1198466385.5085301,1339982522.1320698,1611435935.8312864,2784942355.450404,34997629973.9056
1803905162.1671946,2035,74424175410.78384,,50_percent_of_peak,20,1049391492.3084983,1803905162.1671946,1135396127.4683268,954194369.8311589,912831563.035479,1134311828.7503858,30947424664.006386
2161589562.2105937,2083,104424297682.23843,,50_percent_of_peak,21,879336781.5952004,1533819191.4242477,1212947382.1156726,1155407687.7782075,1255272840.634651,2023280184.1200233,29694939994.785896
1269728427.8269293,2092,59390802057.57453,,50_percent_of_peak,22,465794537.0455243,828524143.6151916,811263736.16206,694111136.175169,681595199.8439888,1088634817.9562547,17896582770.738747
4378780371.552467,2037,171237399074.19037,2055.0,50_percent_of_peak,23,2072337839.068602,4083837421.9436526,3350107978.0200734,2620649485.304721,2176963317.3099694,2314157645.908325,77449471916.51695
1992293690.647461,2041,94128704500.03578,,50_percent_of_peak,24,884307001.4259015,1524188869.1233299,1738984995.4409637,1314238671.9092004,1143066768.186611,1545120756.4328973,35047871241.73585
2863540823.266071,2083,135786800557.8789,,50_percent_of_peak,25,1269960487.2560434,1961124563.0844889,1424333471.7000434,1398867721.7818806,1592176998.137799,2670877436.0933943,37982156420.05879
1105962897.4691653,2075,53531658116.929405,2091.0,50_percent_of_peak,26,556640504.9117197,872389666.7366989,594789272.2952147,644049610.7797221,758036551.8190159,1105962897.4691653,15767504827.493433
1998138475.52021,2037,98262375123.1548,,50_percent_of_peak,27,1002772748.435599,1893028942.3537726,1509153280.6572828,1263845818.1059563,1172442357.7956367,1641148965.71935,35711888029.88992
2123485861.8236732,2085,101607647477.836,,50_percent_of_peak,28,1006595200.2872546,1595303864.779819,1103750501.2579894,1017402696.0175517,1120425562.1247952,1938110657.3690648,30091442862.640156
