peak_emissions,peak_year,cumulative_emissions,turning_year,turning_year_rule
7958211469.0504675,2036,212834527950.2797,2046.0,50_percent_of_peak
7663420057.419481,2037,157040202791.93646,2046.0,50_percent_of_peak
9015161322.368326,2038,231527724492.45255,2050.0,50_percent_of_peak
9395606676.844954,2037,198494730864.2841,2047.0,50_percent_of_peak
11425653597.455221,2037,246977503267.71982,2046.0,50_percent_of_peak
9904321063.016987,2037,246737069825.24353,2047.0,50_percent_of_peak
7184241146.9492445,2035,117946746018.34561,2043.0,50_percent_of_peak
6823023803.381227,2037,135466744578.61525,2046.0,50_percent_of_peak
7427378742.599835,2036,188507860815.37012,2061.0,50_percent_of_peak
8847744399.978409,2036,176267656103.86383,2047.0,50_percent_of_peak
15392141901.04236,2038,380703415715.05505,2049.0,50_percent_of_peak
5729464379.161247,2038,119136386394.34122,2048.0,50_percent_of_peak
8683287403.993649,2036,196616411429.56824,2047.0,50_percent_of_peak
5529560949.96029,2038,138234738155.36038,2050.0,50_percent_of_peak
7315970963.931441,2038,164350356323.69754,2049.0,50_percent_of_peak
8987275947.784754,2036,191138451133.09433,2045.0,50_percent_of_peak
7392610282.854635,2037,206187451870.55002,2046.0,50_percent_of_peak
8274465228.914851,2039,219289587884.7422,2054.0,50_percent_of_peak
8071038963.016462,2038,204372418440.29193,2048.0,50_percent_of_peak
10121923143.62423,2036,194783127699.12427,2045.0,50_percent_of_peak
10848918246.07314,2037,218283751799.9319,2047.0,50_percent_of_peak
10083151025.1558,2038,237205408191.19937,2049.0,50_percent_of_peak
10240976636.85439,2038,238771328353.29092,2049.0,50_percent_of_peak
6696313797.15903,2036,133823945701.32014,2044.0,50_percent_of_peak
5609301908.303233,2037,134960412758.92131,2046.0,50_percent_of_peak
6760855596.666517,2036,156978805821.15692,2044.0,50_percent_of_peak
9927588470.43669,2038,232604388077.56702,2049.0,50_percent_of_peak
8996369442.626688,2035,184944813518.07623,2044.0,50_percent_of_peak
7126222474.215811,2037,146165329583.5371,2048.0,50_percent_of_peak
9841958101.322588,2037,242259244396.87662,2049.0,50_percent_of_peak
4638843005.621771,2037,94936444602.00291,2045.0,50_percent_of_peak
9043121208.450464,2036,213811407179.57877,2046.0,50_percent_of_peak
5357728114.669556,2035,125741583905.22075,2047.0,50_percent_of_peak
8943179863.297592,2036,208010493186.49557,2048.0,50_percent_of_peak
11544598487.775356,2037,247174421866.18298,2048.0,50_percent_of_peak
8127717443.590917,2037,264460420669.32092,2047.0,50_percent_of_peak
9972376253.09725,2037,213786405349.22598,2046.0,50_percent_of_peak
7854052452.726018,2037,169453093070.457,2050.0,50_percent_of_peak
9267246399.465738,2037,198430760052.3838,2047.0,50_percent_of_peak
9424506346.400019,2036,217807766404.24762,2045.0,50_percent_of_peak
8210110299.848769,2036,170952646987.15753,2045.0,50_percent_of_peak
10255941285.779984,2036,213403362595.09406,2047.0,50_percent_of_peak
11210281253.757029,2038,246102185641.12625,2049.0,50_percent_of_peak
6697158457.101754,2037,214585760727.9052,2072.0,50_percent_of_peak
6309074966.521152,2038,129707076910.05836,2048.0,50_percent_of_peak
7278249403.55969,2037,152262098009.22632,2047.0,50_percent_of_peak
16719781501.355259,2035,323075359536.1664,2045.0,50_percent_of_peak
6984663162.966707,2037,160278447175.67444,2046.0,50_percent_of_peak
10000005141.718544,2035,226224844597.14285,2047.0,50_percent_of_peak
8703969851.207674,2037,195686557887.4203,2048.0,50_percent_of_peak
9585387419.450476,2037,214053973487.6284,2048.0,50_percent_of_peak
5632253352.040832,2036,142978651938.29868,2045.0,50_percent_of_peak
9482560529.71208,2036,212901325482.62555,2046.0,50_percent_of_peak
9266538257.869986,2035,208260293550.85468,2045.0,50_percent_of_peak
6135273815.781906,2036,132746999676.23949,2047.0,50_percent_of_peak
11999697180.632881,2036,235001259623.27484,2046.0,50_percent_of_peak
7054196866.374208,2037,170884637363.71893,2048.0,50_percent_of_peak
9327592141.928293,2037,212684841225.30682,2047.0,50_percent_of_peak
10254900724.348524,2036,185440296710.35263,2046.0,50_percent_of_peak
10779658712.299503,2037,241801671499.44647,2048.0,50_percent_of_peak
12315652258.804817,2036,292882417276.57776,2049.0,50_percent_of_peak
7696736163.81052,2036,161354810875.3077,2046.0,50_percent_of_peak
