Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2057,296611496.07787025,491464844.99056935,745593684.1153226,356904685.38584,631619903.9295748,1015859284.1903118,0.00043939972901737624,0.00763344954456304,0.03648086848314813,0.23586582317547883,0.3301583204297916,0.4299656669892938,47341.68817738326,1457785.6542358561,7126211.121691483,1238.3876511255107,54538.89812073462,624216.0589845325,4451.0113265732225,80308.48489390069,429002.3853244947,4309120.321517465,10810675.117300425,26999533.92173197,34406815.164732195,98310992.80909462,191001100.94159153,4760078.819030285,9876761.505274951,19240796.079045083,18117.102428133967,433272.076276229,2757566.169515223,424.0590233652021,17991.29079963478,197460.26660980174,1286.0144235306773,26817.962747113073,165406.39552314844,1454761.8902834484,3694382.8905227836,9317853.285245512,12087701.442882175,31823560.782711186,69073038.83548649,1646585.6218082064,3465974.075405392,6867140.235068672
2058,301194733.3656752,500695320.54830956,755376487.4372734,359369229.9801681,636622026.1506453,1036736334.3784839,0.00044379372630754996,0.007709784040008671,0.036845677167979624,0.23822448140723362,0.3334599036340895,0.4342653236591867,49957.410508285844,1526886.7943294365,7471761.3311495595,946.4859678687701,44357.29190800354,546246.7385169902,4673.727279659714,84277.56056039227,448653.5473783776,4439642.208441551,11138127.035546333,27817341.235196438,34407074.48404818,98327994.90153092,191039829.23953933,4904260.095720284,10175925.476615094,19823593.685697697,18987.18028016601,450073.7150086629,2872922.665157729,322.7728800980644,14962.081755797355,172340.93481158192,1341.750446169418,27914.455441288716,173084.00355971692,1492188.2982687054,3787809.1159208594,9570366.157951616,12038223.254573397,31684087.99956583,68655643.49554493,1687541.5453996465,3555957.9345280617,7052812.718544808
2059,306039567.508271,509077091.48473763,756854550.0059593,367503374.0456902,646759062.1333084,1059918654.0988894,0.0004482316635706255,0.007786881880408757,0.03721413393965941,0.24060672622130594,0.33679450267043043,0.4386079768957786,52477.22602996724,1597327.298935282,7824498.247294069,713.3743047209192,37471.60346817045,482737.3881392428,4893.989495783262,88347.26607733927,468656.1603441036,4570161.0879859915,11465571.408910254,28635129.7054069,34407263.202639595,98341748.40760705,191071320.9550938,5048438.050302038,10475082.554861214,20406377.863999702,19881.087305523622,466886.007854437,2989341.3876263835,245.3497953397845,12521.555907545175,150286.4401087213,1395.724166006626,29013.64444198664,180870.31519969154,1529155.0739501303,3882886.38147966,9820819.008322401,11988235.020249002,31542974.67871628,68230883.47860557,1727880.122496622,3644903.0513006393,7236937.536978809
2060,311250987.30905807,518352859.84048516,759951187.224436,376256729.19670886,660259775.2972746,1084826323.1884181,0.0004527139802063318,0.007864750699212846,0.03758627527905602,0.24301279348351904,0.3401624476971348,0.4429940566647364,55122.62300630952,1669118.0715589167,8184449.609343286,481.61436025153074,32273.761399728475,425462.4729998454,5125.715777522077,92555.7742893579,489014.81317972165,4700676.931216077,11793008.164801091,29452899.151067957,34407400.54328313,98352874.29368955,191096928.32163137,5192612.650812759,10774232.67369323,20989148.484753765,20799.912657042216,483776.14284503035,3106703.79177417,184.6315712373542,10868.804432511199,130956.65144001621,1451.9316416344639,30114.22606993791,188760.8980591008,1565655.6641961662,3976863.838604493,10069182.475002555,11937736.048201017,31400259.41642478,67799285.17221823,1767592.5503869269,3732794.6166040255,7419492.631176266
2061,316892911.6848331,528958289.802156,764587195.8086125,384195087.20668834,679574935.9046458,1111186760.4149742,0.00045724112000839514,0.007943398206204974,0.03796213803184657,0.24544292141835425,0.3435640721741061,0.44742399723138376,57886.6784524509,1742269.3117722156,8552017.108624732,325.0580055842225,27636.62744888971,374271.77185269765,5361.853902975656,96917.46847977454,509732.2126220968,4831189.708827368,12120437.229700182,30270649.388567615,34407500.494468115,98361874.77870393,191117750.8856986,5336783.864881235,11073375.765943615,21571905.41711166,21708.127463354544,501199.811370417,3224644.1032992485,123.66363454554379,9378.715008089359,114048.77236856952,1508.33048368318,31216.73268197105,196757.61658142615,1601683.430923688,4069725.827802106,10315426.816014124,11886724.366583912,31255968.867046744,67555451.30614465,1806669.91224395,3819617.6293412275,7600455.6559807025
2062,322897967.27671295,537479122.6609718,770633643.8215303,392701654.0735697,696888989.8538406,1139119317.8157501,0.00046181353120847905,0.008022832188267024,0.03834175941216504,0.24789735063253776,0.34699971289584713,0.4518982372036976,60662.384321605714,1816831.2545747007,8926992.785541732,247.7668834773033,24147.347499576033,328879.57343006023,5601.539380832037,101375.51517751007,530803.8251727548,4961699.391139822,12447858.529146556,31088380.231940463,34407573.23579201,98369156.05180044,191134682.72703037,5480951.659721346,11372511.763583936,22154648.52854805,22636.621031242954,518616.9467691985,3343496.14376048,82.82613043334558,7779.8278714646185,99285.36405647737,1564.6826883363854,32318.843151640234,204862.43576480253,1637231.6500580618,4161456.4867222076,10559521.904096192,11835197.078266157,31110120.39530505,67363835.5245727,1845103.175729827,3905356.894087178,7779803.976772319
2063,329209165.83352566,544573432.3951578,777969951.5822755,401694398.04642546,713889870.9352983,1168434851.4642746,0.00046643166652056385,0.008103060510149694,0.038725177006286686,0.2503763241388631,0.35046971002480565,0.45641721957573456,63447.30079885287,1892859.560756957,9309655.115906816,190.3511365972814,21173.470333684854,288729.92940990947,5844.584287649296,105925.1494608967,553163.9884086879,5092205.948091791,12775271.98772187,31906091.492830083,34407626.17515942,98375046.6420449,191148450.8542327,5625116.002125429,11671640.597711096,22737377.68483368,23583.377622165062,536048.8029834982,3463296.507570642,55.51533527495449,6450.336300229774,86394.7656224396,1620.8998906795314,33421.07293879401,213076.63613021775,1672293.5104809864,4252039.747675316,10801437.221989825,11783150.613080082,30962724.128726624,67167050.29017918,1882883.1915821969,3989997.0187109695,7942092.874807027
2064,335778137.3558015,552221811.9316422,790176058.1365829,411103115.24076253,731297520.11782,1198969213.742137,0.00047109598318576944,0.008184091115251192,0.03911242877634955,0.25288008738025175,0.3539744071250537,0.4609813917714919,66341.6136326477,1970221.389992862,9700005.92400506,146.48513810690702,18077.880834790587,253294.46735482605,6094.320109774774,110613.82787035502,577064.0788262448,5222709.349233924,13102677.529035117,32723782.980450835,34407664.703517094,98379812.27265516,191159646.42523935,5769276.858457546,11970762.198533366,23320092.750008132,24548.030806924504,553469.4115458145,3583997.0015062774,41.622363891101855,5462.418265539409,75013.54586495658,1677.8694610454515,34552.171853018066,221394.9679696119,1706862.1129660034,4341459.335121492,11041141.857667688,11730580.907088606,30813784.546925955,66965562.80300601,1920000.6921843851,4071364.0946379686,8097494.458436097
2065,342564470.3670335,560982027.3668989,805053583.0638179,420867722.1500649,747035251.9185255,1229249392.9664226,0.00047580694301762715,0.008265932026403702,0.03950355306411305,0.25540888825405433,0.35751415119630425,0.4655912056892068,69337.94847753238,2048911.631857514,10104902.312159337,112.99973212740028,14855.158550949884,222049.93580893107,6353.187981418585,115398.93862335908,601463.4414804043,5353209.563722937,13430075.075706989,33541454.5015488,34407692.74405635,98383667.87282953,191168750.13345826,5913434.194646595,12269876.495356085,23902793.58635203,25498.371379569435,570884.2180508622,3705549.3069520663,31.847192397651273,4620.457924365661,64756.68459476098,1736.198972031537,35812.81135923667,229821.28666277244,1740930.4691015093,4429698.763129599,11278604.499507638,11677483.5299378,30663301.71289353,66759762.22330703,1956446.2901188133,4148732.194911956,8249991.953320312
2066,349534182.3276109,570312211.5106597,822996119.6259508,430683969.95014185,764118185.2729007,1254056812.7150948,0.00048056501244780344,0.008348591346667739,0.03989858859475418,0.25796297713659483,0.3610892927082673,0.47024711774609895,72337.26548002503,2129083.8793215966,10517839.22426854,87.45185026843698,12124.96759465596,194563.06218545604,6614.53592157537,120284.38945854855,626356.913850676,5483706.560315261,13757464.549353965,34359105.860362075,34407713.1518594,98386787.29130238,191176152.84992206,6057587.976179305,12568983.416567136,24485480.0543587,26462.819838052805,588264.7967305948,3827972.9219353045,24.53843967013125,3829.4485930376977,55870.187844653236,1794.0084415937813,37084.67016437552,238350.07936229953,1774491.5002011566,4516741.332806805,11513793.431409767,11623853.775282178,30511272.227319125,66549972.06880741,1992210.4767034648,4224660.385793796,8399544.260626769
