Year,ATS Total Power (kWh)_p05,ATS Total Power (kWh)_p50,ATS Total Power (kWh)_p95,ATS Emissions (kg CO2)_p05,ATS Emissions (kg CO2)_p50,ATS Emissions (kg CO2)_p95,EV Fraction_p05,EV Fraction_p50,EV Fraction_p95,Clean Energy Fraction_p05,Clean Energy Fraction_p50,Clean Energy Fraction_p95,ECAV Sensing Power (kWh)_p05,ECAV Sensing Power (kWh)_p50,ECAV Sensing Power (kWh)_p95,ECAV Computing Power (kWh)_p05,ECAV Computing Power (kWh)_p50,ECAV Computing Power (kWh)_p95,ECAV Communication Power (kWh)_p05,ECAV Communication Power (kWh)_p50,ECAV Communication Power (kWh)_p95,STI Sensing Power (kWh)_p05,STI Sensing Power (kWh)_p50,STI Sensing Power (kWh)_p95,STI Computing Power (kWh)_p05,STI Computing Power (kWh)_p50,STI Computing Power (kWh)_p95,STI Communication Power (kWh)_p05,STI Communication Power (kWh)_p50,STI Communication Power (kWh)_p95,ECAV Sensing Emissions (kg CO2)_p05,ECAV Sensing Emissions (kg CO2)_p50,ECAV Sensing Emissions (kg CO2)_p95,ECAV Computing Emissions (kg CO2)_p05,ECAV Computing Emissions (kg CO2)_p50,ECAV Computing Emissions (kg CO2)_p95,ECAV Communication Emissions (kg CO2)_p05,ECAV Communication Emissions (kg CO2)_p50,ECAV Communication Emissions (kg CO2)_p95,STI Sensing Emissions (kg CO2)_p05,STI Sensing Emissions (kg CO2)_p50,STI Sensing Emissions (kg CO2)_p95,STI Computing Emissions (kg CO2)_p05,STI Computing Emissions (kg CO2)_p50,STI Computing Emissions (kg CO2)_p95,STI Communication Emissions (kg CO2)_p05,STI Communication Emissions (kg CO2)_p50,STI Communication Emissions (kg CO2)_p95
2045,3450955955.7937155,7492105819.544991,13344851938.34985,2789848774.2969522,6833988934.728144,16707688487.52059,0.1361947447210368,0.3239193796585982,0.6375801994835575,1.0,1.0,1.0,130614076.68144202,300929716.8437617,822367335.5869765,100317986.78589098,696484804.754705,2923078911.2624583,20929144.776971456,48054788.53767064,168989123.10559148,35945096.147213586,70255238.29865229,130757625.72147587,733740249.123316,1353955893.0845857,2809965333.187116,46618395.01107829,102065593.0237351,201438332.9768557,4800371.26671329,14323336.032036647,39226538.33299468,4148303.8588012066,34175569.396085456,110608816.4193146,776335.6839759373,1827548.9174701902,6703258.782274347,1139386.8624939476,2867453.9356185915,6673843.075128715,23720211.142518967,52195233.814486094,164248506.0714542,1816177.091356751,3999330.097520672,11167498.152349545
2046,3285184432.9681683,7082454122.237211,12343791376.770933,2517239357.9587197,6046931383.129087,14921987119.229887,0.14981421919314047,0.356311317624458,0.7013382194319133,1.0,1.0,1.0,153192503.31326059,355262983.8268336,967982378.002564,85524160.89772226,641142500.8049163,2886545641.8909583,24866546.810270283,56454571.12008466,199718029.734701,37643732.575046234,73575249.08764571,136936762.51826596,734013052.2734181,1357375856.1018867,2820421667.876321,48821413.29342187,106888847.1785831,210957586.70078528,5625309.826261772,16880453.390703775,46528325.47232597,3511693.147329835,32432250.20692067,111923327.12371308,909343.2243074626,2152594.7063140906,7911388.977381185,1193230.2024060097,3002959.532549688,6989224.981874041,23727524.41717343,52325105.75412893,164748613.3306152,1902003.1120784362,4188324.105569882,11695234.094177183
2047,3147014971.3926487,6641408614.846529,11423857673.022257,2159314218.0112586,5409520360.08675,13420386886.592752,0.1647956411124545,0.39194244938690387,0.7714720413751047,1.0,1.0,1.0,178977125.40674564,417574791.6843183,1134807715.8525383,72700194.32729791,602913546.3272979,2830109651.5223455,29395843.437826205,66126525.8183468,234950916.64912742,39340856.683561414,76892304.02548218,143110397.94478637,734212392.6620528,1360174344.7778707,2835281810.076056,51022470.19836265,111707807.1240806,220468365.30251753,6568780.682476804,19807117.871143352,54916626.61049991,2951683.6746068043,30349900.162425168,112395941.70950978,1062618.3463291056,2524718.5174292764,9295044.572305005,1247025.6048538021,3138344.486988662,7304326.099780662,23732814.357833494,52431017.14674047,165161092.47464386,1987752.7207163156,4377149.849660674,12222500.185455123
2048,3037286298.0582232,6315921457.82654,10687951499.323948,1825126849.7903109,4940904399.568853,12185160341.779316,0.1812752052237,0.43113669432559426,0.8486192455126153,1.0,1.0,1.0,208383337.35917002,488432366.5100081,1325663766.504816,61826470.36613452,567659249.3642054,2839961229.562509,34597548.51236597,77174898.76864794,275286492.9670383,41036390.97537329,80206251.64233989,149278250.08847442,734358046.3784573,1362465252.6250587,2848064674.8018017,53221465.21695415,116522252.80749473,229970234.4823599,7646411.246138901,23151820.728481337,64537729.15552878,2521046.6318767862,28042694.498386078,112400686.26983543,1237627.4387347924,2950083.8185229287,10877349.242900632,1300770.6133269032,3273602.6167240897,7619132.040087744,23736640.597872473,52517404.92531613,165501358.50333396,2073422.0016047806,4565798.707264225,12749272.349132372
2049,2945265010.306571,6053654058.5807705,10275529857.678486,1142197571.33261,4373759358.457165,10849392157.690952,0.19940272574607001,0.47425036375815377,0.9334811700638769,1.0,1.0,1.0,241902625.57773218,568185422.4504445,1543854533.754665,53580915.46137683,532020360.4796148,2873339508.5013556,40155114.0914866,89783606.46307662,321398594.04858506,42730252.824564874,83516930.44460471,155440018.38068834,734464467.2523373,1364341406.2466538,2859060439.495398,55418291.188886635,121331949.6137007,239462731.20004353,8877260.944627276,26883906.608739097,69599694.87543447,2222345.804457465,25845315.20870045,111976928.52730829,1437204.1539514314,3435787.8414728614,12684303.20578131,1354462.6087508244,3408727.3304254087,7933627.461831895,23739408.01594252,52587881.02309272,165782105.63776785,2159006.779951894,4754261.485240104,13275524.914815072
2050,2866247167.1486306,5761603745.16209,9910318672.304214,246706296.7726049,3824783581.4269805,9560147757.469666,0.21934299832067702,0.5216754001339692,1.0,1.0,1.0,1.0,280038226.0641534,657673423.8098689,1792485883.474687,46280203.759166665,497033097.34428763,2717950334.221025,46357074.116754554,104150268.53592938,364218598.6479742,44422354.06729882,86824168.11471272,161595382.10747033,734542218.8944066,1365878500.3369741,2868518733.8322506,57612833.7715366,126136647.20272711,248945361.38048378,10279937.468761204,31091593.193181813,77165915.93833451,1859463.9163763232,23812820.511407733,111209493.07340524,1664531.283761869,3989555.5069221575,14726573.643646678,1408098.7965101998,3543711.594984642,8247795.995836834,23741409.522520665,52645386.445176795,166013788.85443002,2244502.6011544177,4942528.374286737,13801230.491576606
2051,2849345468.9299245,5700625015.675145,9601089961.023697,234666213.85107735,3512299088.296254,9054814676.070545,0.24127729815274476,0.5738429401473661,1.0,1.0,1.0,1.0,323264402.42564064,759443799.6152631,2075059652.062161,39966318.00940458,462642043.27002573,2577189130.713024,53402668.99088936,120243706.22604482,403998241.3186964,46112600.55482024,90127780.63748747,167743998.7835033,734599021.493818,1367138290.3013127,2876654310.974166,59804970.86024125,130936078.24051368,258417597.40878257,11876727.976129917,35826323.728206605,89244360.30337438,1543077.2180198398,21954135.905712023,109831514.45463,1923185.8881305812,4625541.900289644,16488434.129341671,1461676.192279879,3678547.8998580263,8561620.161720445,23742857.018534195,52692316.43636246,166205020.008934,2329904.7082126453,5130588.89920752,14326359.82908358
2052,2890429160.7055693,5505811219.735662,9463702789.652689,212705282.33719265,3018305770.6597776,8578548843.010073,0.2654050279680193,0.6312272341621028,1.0,1.0,1.0,1.0,372330262.2469418,875065910.4269676,2396589454.7507286,33759732.8488837,428732140.071818,2431015858.0746408,61430901.06391247,138248970.48813924,425189519.57280207,47800891.66502698,93427571.34549661,173885502.37534776,734640516.993549,1368171183.9544961,2883651924.4654427,61994571.95483759,135729957.01202193,267878875.39304113,13692685.608371925,41194180.41901669,97658150.84717706,1277087.3984404549,20186916.211832345,106914884.05438125,2217185.0722572715,5349431.760666104,18626511.704399604,1515191.606542695,3813228.2181024235,8875081.277209157,23743903.795399256,52730622.19241881,166362893.72500044,2415208.0170517955,5318431.864567061,14850881.665849436
2053,2923211726.991815,5345809528.792324,9098440040.66878,172194315.04491016,2520384142.949251,8110160515.66108,0.2919455307648212,0.6943499575783131,1.0,1.0,1.0,1.0,428385593.87237924,995311767.7794997,2761283765.181634,29062461.94787225,397718899.44951594,2140322775.5144744,70536573.12289682,158651281.04057086,446402314.37430304,49487119.76836879,96723329.87514368,180019501.3585413,734670828.3968178,1369018346.540108,2889670522.2456145,64181497.46696933,140517977.90466356,277328592.17122906,15755959.341283102,47274169.73631604,111008645.15517485,1054014.4461677223,18518214.705285814,105486169.35655132,2551038.999525823,6128494.800433298,20336141.765317883,1568641.6276595443,3947743.963768414,9188159.358972685,23744660.742220685,52761893.530805305,166493255.52425778,2500407.089535811,5506045.29526595,15374762.5632989
2054,2810867268.249673,5170441812.502562,8856767131.310524,129477341.11135727,1957617533.9126906,7486115105.995859,0.3211400838413033,0.7637849533361445,1.0,1.0,1.0,1.0,490073905.56789416,1135441247.429775,2912850338.010207,25225283.63991371,377254556.12081456,2085866134.3538733,80855504.45930862,175586320.5120857,467693143.6136891,51171169.643378206,100014831.02431431,186145576.59147263,734692968.5836772,1369713411.3803458,2894846853.5726204,66365597.96206933,145299813.7487084,286766102.03578603,18098173.357387394,53752128.560326636,122879623.47843872,868163.6594302282,16951846.53231138,100721938.86974765,2929809.5713442694,6774039.354407556,21305026.712767467,1622022.6033429008,4082085.9452753435,9500833.014106985,23745208.072031602,52787426.101592936,166600922.45328125,2585496.1039362196,5693416.371511442,15897966.724183865
