Year,ATS Total Power (kWh),ATS Emissions (kg CO2),EV Fraction,Clean Energy Fraction,outer_draw_id,inner_draw_id
2036,5018463101.386065,6329513683.380566,0.06455220565328214,1.0,30,11
2037,5298770206.863846,6591122546.573115,0.0684712896715357,1.0,30,11
2038,5510599088.064863,6881815117.451565,0.07262830854246692,1.0,30,11
2039,5712266720.75863,7249014466.103317,0.07703770773186705,1.0,30,11
2040,5899261147.691572,7386617415.003237,0.08171480971652245,1.0,30,11
2041,5778936277.415096,7303270758.016975,0.08667586722917728,1.0,30,11
2042,5577002980.9169035,7045818513.982081,0.09193811973609632,1.0,30,11
2043,5355954667.462034,6646461938.625159,0.09751985334348545,1.0,30,11
2044,5273359943.838049,6268312763.9717,0.1034404643409418,1.0,30,11
2045,5000717322.353516,6100994359.399931,0.10972052660274466,1.0,30,11
2046,4848906339.532876,5681668189.672742,0.11638186308120346,1.0,30,11
2047,4508261798.882644,5100756352.118963,0.12344762164049955,1.0,30,11
2048,4342543968.145152,4919852098.246336,0.13094235549454095,1.0,30,11
2049,4311973836.433454,4644914975.711246,0.13889210852834827,1.0,30,11
2050,4080086995.991021,4410047200.13362,0.14732450579946016,1.0,30,11
2051,3832073110.537807,3986600966.3697305,0.15626884953384682,1.0,30,11
2052,3649649334.8487053,3688265393.752212,0.1657562209499129,1.0,30,11
2053,3656911418.2155685,3591112565.8873897,0.17581958826442518,1.0,30,11
2054,3565350453.588112,3314802701.798192,0.18649392125567904,1.0,30,11
2055,3371146854.8954515,3102437206.3050065,0.1978163127820081,1.0,30,11
2056,3459320273.15958,3203642358.763172,0.20982610767790724,1.0,30,11
2057,3323024527.535848,2938306296.1866856,0.22256503947567807,1.0,30,11
2058,3302343228.849627,2793622845.598612,0.23607737542769922,1.0,30,11
2059,3323916370.5172787,2923077657.44387,0.2504100703332668,1.0,30,11
2060,3367030541.383413,2854711051.660954,0.26561292970454775,1.0,30,11
2061,3301559668.6191664,2777237083.5523186,0.2817387828386409,1.0,30,11
2062,3248545753.5662174,2715899933.1224685,0.29884366639716253,1.0,30,11
2063,3361999785.7840614,2702516762.3297076,0.3169870191312898,1.0,30,11
2064,3479408005.3452206,2821548563.115997,0.3362318884289219,1.0,30,11
2065,3447387950.049226,2724287267.5637116,0.3566451494017017,1.0,30,11
2066,3419207110.4375224,2601657571.7308884,0.3782977372732178,1.0,30,11
2067,3600993335.175603,2695244677.0784497,0.40126489387592296,1.0,30,11
2068,3500408012.668781,2566035800.6885304,0.4256264291133388,1.0,30,11
2069,3491738071.869753,2488249218.1506524,0.45146699829611486,1.0,30,11
2070,3553766862.1335783,2485763082.5410333,0.4788763963156736,1.0,30,11
2071,3403612329.753674,2197122080.6736283,0.5079498696776825,1.0,30,11
2072,3564567298.21643,2198381107.6007733,0.5387884474796569,1.0,30,11
2073,3609945832.111862,2178932509.547722,0.5714992924828256,1.0,30,11
2074,3779898528.3134785,2091527678.8627079,0.6061960734982206,1.0,30,11
2075,3568946545.8205075,1883677151.5420783,0.6429993603810159,1.0,30,11
2076,3649848090.4298263,1748407220.1923203,0.6820370430057053,1.0,30,11
2077,3638178397.9383745,1566369248.888033,0.7234447756780386,1.0,30,11
2078,3561479899.210472,1330190223.1320891,0.7673664485280302,1.0,30,11
2079,3614862645.250522,1113701838.0853436,0.8139546875221118,1.0,30,11
2080,3647078722.482131,882549476.3864464,0.8633713848319472,1.0,30,11
2081,3532051710.6308575,584946122.4894297,0.915788261402923,1.0,30,11
2082,3319658246.9519153,258695182.35743567,0.9713874636772135,1.0,30,11
2083,3325912536.170388,109384696.98777238,1.0,1.0,30,11
2084,3411391017.6490936,109675845.30288713,1.0,1.0,30,11
2085,3504842136.8899097,112695852.36025804,1.0,1.0,30,11
2086,3367359832.520388,108520963.41227776,1.0,1.0,30,11
2087,3378972097.467774,107263865.91848886,1.0,1.0,30,11
2088,3480444127.1746674,111143542.24079388,1.0,1.0,30,11
2089,3516979270.77818,111940348.63395017,1.0,1.0,30,11
2090,3542212120.4105635,118452877.00692376,1.0,1.0,30,11
2091,3467219274.386682,113299185.92245902,1.0,1.0,30,11
2092,3403704789.772072,108147968.70179573,1.0,1.0,30,11
2024,1496549.2707835168,2469902.1835711244,0.03182306625664263,0.7316875140962745,30,12
2025,367225828.59858614,283791059.90479493,0.03375510357614345,0.757135272137719,30,12
2026,814120904.0170856,734611309.0582498,0.035804438461310636,0.7834680915979519,30,12
2027,1267371305.1172626,1283025642.8473122,0.03797819226470421,0.8107167545094713,30,12
2028,1780737362.7994554,1903911658.0484533,0.04028391868939372,0.8389131134898263,30,12
2029,2112275259.644797,2362918650.167022,0.04272963003775881,0.868090128976078,30,12
2030,2577785463.210228,2931309670.5120225,0.045323825053903144,0.8982819077542556,30,12
2031,3055484497.4724364,3608005876.928475,0.04807551845643278,0.9295237428288523,30,12
2032,3451021883.3795238,4032022163.84044,0.05099427226422433,0.9618521546789609,30,12
2033,3688928532.281168,4510383213.657041,0.0540902290240385,0.9953049339492813,30,12
2034,4072704109.4014034,4931765255.2879925,0.05737414705544362,1.0,30,12
2035,4203143003.127958,5181995741.015618,0.06085743783552384,1.0,30,12
2036,4620185490.7917,5684532736.626272,0.06455220565328214,1.0,30,12
2037,4880259412.399625,6101872719.520199,0.0684712896715357,1.0,30,12
2038,4895184436.708826,6215716274.979744,0.07262830854246692,1.0,30,12
2039,5313297365.455088,6475183055.910255,0.07703770773186705,1.0,30,12
2040,5573972817.17272,7221678620.8673725,0.08171480971652245,1.0,30,12
2041,5427351753.226059,6835524671.500297,0.08667586722917728,1.0,30,12
2042,5254338166.279896,6442054813.4602785,0.09193811973609632,1.0,30,12
2043,4994594987.201588,5937224384.869602,0.09751985334348545,1.0,30,12
2044,4853979933.72019,5724790366.464218,0.1034404643409418,1.0,30,12
2045,4701006122.051484,5351049254.75734,0.10972052660274466,1.0,30,12
2046,4364344539.677191,4947435565.005159,0.11638186308120346,1.0,30,12
2047,4045778837.000837,4482339588.369348,0.12344762164049955,1.0,30,12
2048,4060350470.8688817,4313728263.150187,0.13094235549454095,1.0,30,12
2049,3895775673.8213367,3966468013.313323,0.13889210852834827,1.0,30,12
2050,3777535312.5738883,3800316799.6059923,0.14732450579946016,1.0,30,12
2051,3516298155.3544087,3532880445.630894,0.15626884953384682,1.0,30,12
2052,3484337198.4165797,3302887680.096834,0.1657562209499129,1.0,30,12
2053,3532803877.5264544,3291436786.4668136,0.17581958826442518,1.0,30,12
2054,3343889311.624574,3061059854.1449404,0.18649392125567904,1.0,30,12
2055,3236840155.192013,2847392791.016267,0.1978163127820081,1.0,30,12
2056,3179117566.106897,2845125361.9211607,0.20982610767790724,1.0,30,12
2057,3138677207.6167817,2685772792.449145,0.22256503947567807,1.0,30,12
2058,3194009702.952441,2633541117.005758,0.23607737542769922,1.0,30,12
2059,3097282389.8399525,2631129170.195684,0.2504100703332668,1.0,30,12
2060,3157155423.7856607,2544187132.9112124,0.26561292970454775,1.0,30,12
2061,3164806758.6135716,2529170038.053842,0.2817387828386409,1.0,30,12
2062,3157989120.4750986,2498358807.9279656,0.29884366639716253,1.0,30,12
2063,3078818387.94276,2316176939.751699,0.3169870191312898,1.0,30,12
2064,3176163776.717278,2472610522.9526396,0.3362318884289219,1.0,30,12
2065,3198136082.069327,2360021689.920756,0.3566451494017017,1.0,30,12
2066,3265083697.270973,2400003397.2261696,0.3782977372732178,1.0,30,12
2067,3337622022.42368,2380254897.152541,0.40126489387592296,1.0,30,12
2068,3275024393.999555,2231836944.3143544,0.4256264291133388,1.0,30,12
2069,3422615860.33198,2385164903.3956766,0.45146699829611486,1.0,30,12
2070,3305098936.1730094,2118724868.05351,0.4788763963156736,1.0,30,12
2071,3352248799.318609,2072034543.6966746,0.5079498696776825,1.0,30,12
2072,3455070979.4157805,2009315985.5189054,0.5387884474796569,1.0,30,12
2073,3447244537.693739,1940439922.777768,0.5714992924828256,1.0,30,12
2074,3433906707.1477113,1826282776.4257386,0.6061960734982206,1.0,30,12
2075,3520051078.3231626,1690377743.04995,0.6429993603810159,1.0,30,12
2076,3477418379.4420023,1507718914.6028476,0.6820370430057053,1.0,30,12
2077,3461847189.153784,1356287362.1798716,0.7234447756780386,1.0,30,12
2078,3432725535.414384,1184089852.2995584,0.7673664485280302,1.0,30,12
2079,3459489299.2156987,1008827204.8834293,0.8139546875221118,1.0,30,12
2080,3523205281.1532464,772232590.1627839,0.8633713848319472,1.0,30,12
2081,3400278237.7345285,507206828.9366952,0.915788261402923,1.0,30,12
2082,3504853136.658451,261118167.62131545,0.9713874636772135,1.0,30,12
2083,3296823740.257141,106068837.5958199,1.0,1.0,30,12
2084,3399755395.1014547,110744622.5443398,1.0,1.0,30,12
2085,3562530348.0923023,116833366.51382242,1.0,1.0,30,12
2086,3443798310.273607,113921092.40082231,1.0,1.0,30,12
2087,3480584745.4800363,114503969.8434687,1.0,1.0,30,12
2088,3451146708.934862,110315314.92276306,1.0,1.0,30,12
2089,3504595726.842468,111876817.50555503,1.0,1.0,30,12
2090,3483248903.3757153,113580610.49953224,1.0,1.0,30,12
2091,3495843675.608899,111335689.69264205,1.0,1.0,30,12
2092,3412016263.6455436,110049387.86966486,1.0,1.0,30,12
2024,1637105.261146624,2688118.26039888,0.03182306625664263,0.7316875140962745,30,13
2025,404069571.81743246,324005392.4463521,0.03375510357614345,0.757135272137719,30,13
2026,849300960.67596,812507950.3625367,0.035804438461310636,0.7834680915979519,30,13
2027,1357912122.648471,1423945099.7116904,0.03797819226470421,0.8107167545094713,30,13
2028,1895980090.7930791,2114563084.4479187,0.04028391868939372,0.8389131134898263,30,13
2029,2346610300.411032,2711845133.1239047,0.04272963003775881,0.868090128976078,30,13
2030,2921892542.8931313,3570628490.198433,0.045323825053903144,0.8982819077542556,30,13
2031,3389928535.0525885,4175443465.2035985,0.04807551845643278,0.9295237428288523,30,13
2032,3747970455.643177,4510489606.285271,0.05099427226422433,0.9618521546789609,30,13
2033,4144341625.8276525,5117853038.778165,0.0540902290240385,0.9953049339492813,30,13
2034,4266774261.5267096,5281984893.12924,0.05737414705544362,1.0,30,13
2035,4588233696.950257,5760747450.462818,0.06085743783552384,1.0,30,13
2036,4958515369.747231,6361895675.80013,0.06455220565328214,1.0,30,13
2037,5410745113.259749,6876473819.423334,0.0684712896715357,1.0,30,13
2038,5539863066.63516,7058801613.459664,0.07262830854246692,1.0,30,13
2039,5576207460.225636,7101962287.235659,0.07703770773186705,1.0,30,13
2040,5952530326.337278,7624624265.5465355,0.08171480971652245,1.0,30,13
2041,6026527364.066201,7583636892.646487,0.08667586722917728,1.0,30,13
2042,5581794552.102588,7106970157.683466,0.09193811973609632,1.0,30,13
2043,5488671514.739189,6826166612.16007,0.09751985334348545,1.0,30,13
2044,5183736556.038832,6298496486.22479,0.1034404643409418,1.0,30,13
