year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2058,800,792682499.0367959,1844925887.0544548,4045142057.0527563,2087204634.5814111,3252459558.0159607,1.762921524836277,2.192576994792507,0.4296554699562298
2059,800,807712899.6346925,1854946544.257701,4071246984.0030723,2108881423.4666047,3263534084.3683796,1.7593682656091618,2.194805557392639,0.43543729178347684
2060,800,803044597.9215652,1870870653.1641216,4097277512.175519,2129202029.8186257,3294232914.253954,1.7608020675734914,2.1900378335861825,0.4292357660126909
2061,800,802691748.0677494,1925435107.4599695,4177689432.298018,2160412364.535281,3374997684.2302685,1.7528493539741048,2.1697378509988936,0.4168884970247888
2062,800,760764877.1580288,1965568949.3689618,4197667198.1090465,2188842741.7136292,3436902320.9510174,1.7485534262506646,2.135599058713606,0.38704563246294127
2063,800,695707763.4488637,2006909502.0413113,4293652573.625199,2220884407.5060034,3597944810.1763353,1.7927788006966512,2.139435071316343,0.34665627061969184
2064,800,624421273.3942045,2045817430.001613,4316333157.677538,2248928645.9891233,3691911884.2833333,1.8046145419146333,2.1098330155854303,0.3052184736707968
2065,800,499950040.66426677,2106858017.2153926,4440525906.688974,2280333165.195935,3940575866.024708,1.8703566324003726,2.1076531358092945,0.23729650340892186
2066,800,473151937.2594311,2153903771.4651027,4570580912.834414,2304172439.3350554,4097428975.5749826,1.9023268494431758,2.1219986581505763,0.21967180870740077
2067,800,417281368.8514357,2196702296.9087057,4548333688.6818495,2344696145.753554,4131052319.830414,1.8805699459793932,2.0705280342641155,0.1899580882847221
2068,800,365978776.7349318,2263484251.3060617,4778222960.954043,2387580027.2180214,4412244184.219111,1.9493151682735081,2.111003404683263,0.16168823640975502
2069,800,307911385.6929055,2310079743.3883667,4721901275.56463,2429616109.9158597,4413989889.871724,1.9107521731684445,2.0440425440200016,0.1332903708515572
2070,800,255563239.50661057,2344154281.7228265,4825574867.280062,2467345450.295705,4570011627.773451,1.949535345606493,2.0585568556236518,0.1090215100171587
2071,800,193979544.61961395,2390863510.871414,4991183699.972728,2508416567.8566484,4797204155.353114,2.006473449253757,2.087607124905912,0.08113367565215503
2072,800,128194171.65852015,2439264739.482955,5059751095.428332,2548897580.4177847,4931556923.769813,2.0217391101283835,2.0742935416271524,0.05255443149876924
2073,800,122192131.73876983,2485478316.485022,5109727028.905226,2590029480.074688,4987534897.166456,2.006670049819568,2.0558324709633484,0.049162421143779944
2074,800,123541734.71362257,2486093025.8764405,5304157194.057324,2625305381.1157436,5180615459.343702,2.083838136956819,2.133531263250864,0.04969312629404505
2075,800,127807953.04542376,2518847756.868849,5329361561.226931,2652147814.250433,5201553608.181507,2.065052798049017,2.115793440351393,0.050740642302375745
2076,800,127210170.15091608,2545504617.113324,5658660346.230277,2683786996.0550475,5531450176.079361,2.173026966398586,2.2230014073387783,0.049974440940192086
2077,800,132744979.70523424,2589223363.935151,5758745835.584371,2709985477.734325,5626000855.879136,2.1728526531324945,2.2241209143239455,0.051268261191450816
2078,800,133207880.35784413,2595285164.966424,5587345747.876156,2722601005.7429986,5454137867.5183115,2.101556291826171,2.1528831680230565,0.051326876196885085
2079,800,136766534.22291756,2603580638.4031343,5541124284.9558735,2733703170.677184,5404357750.732956,2.0757404902379495,2.128270660498703,0.05253017026075335
2080,800,137409650.55147392,2606812540.0320053,5564969175.69484,2733043836.501147,5427559525.143367,2.0820674451246615,2.1347791949882655,0.05271174986360425
2081,800,136720369.54823247,2595888513.5883017,5807620804.110526,2725148262.345641,5670900434.562294,2.1845701018659685,2.237238145517521,0.052668043651552525
2082,800,112238629.29911245,2607563894.961995,5813017222.845336,2705309421.073249,5700778593.546224,2.1862469428114673,2.229290424705033,0.043043481893565765
2083,800,71321671.85265072,2597403494.901866,5569439744.701136,2682850106.1043367,5498118072.848485,2.1167747266222157,2.144233560797437,0.027458834175221346
2084,800,71747346.03284419,2562351339.223011,5756583089.286042,2647540426.9785604,5684835743.253198,2.21860119501685,2.2466017837474337,0.028000588730583816
2085,800,49020538.928566635,2509233966.3826275,5570299292.204493,2615947441.6541076,5521278753.275926,2.200384191847815,2.2199202493001366,0.019536057452321128
2086,800,47065207.33913158,2478379788.210065,5817754989.363661,2574669765.516082,5770689782.024529,2.328412218932852,2.3474025317021163,0.01899031276926407
2087,800,48004467.211941324,2406407898.1303873,5790708557.688648,2528111698.202303,5742704090.4767065,2.3864217263159713,2.406370325740548,0.01994859942457697
2088,800,47423719.29944853,2339606180.8383684,5839026744.042113,2483675610.6798167,5791603024.742664,2.4754606446916276,2.4957306028101582,0.020269958118530374
2089,800,47961584.53842928,2243010614.533494,5709895789.221117,2436547751.0540934,5661934204.682688,2.5242565362804887,2.5456392191031485,0.02138268282265995
2090,800,48733411.732796855,2187479418.222168,5763511613.591485,2379181502.411756,5714778201.858688,2.612494615607979,2.6347729562985642,0.022278340690585333
2091,800,48393365.69920613,2100608377.7769203,5653391959.352691,2323808211.183156,5604998593.653484,2.6682739405168276,2.6913117262417523,0.023037785724924587
2092,800,47908631.9536664,1996493232.9646015,5676137087.231956,2258418944.949395,5628228455.278289,2.8190571159216544,2.8430535067746936,0.023996390853039187
