year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2041,800,3342228298.068482,7561330377.307745,19893216712.763325,9271606708.062037,16550988414.694843,2.188898988512114,2.6309148946149365,0.4420159061028228
2042,800,3022785131.8227654,7018026829.844647,19250951071.67844,8673745732.261652,16228165939.855675,2.312354502670789,2.7430717405941554,0.4307172379233663
2043,800,2810859331.2813764,6467595701.760345,18200624063.119377,8033269338.851515,15389764731.838001,2.3795186714669296,2.8141252023786127,0.4346065309116831
2044,800,2645487147.6255684,5908673127.553105,17202005614.17577,7450419229.846619,14556518466.550201,2.463584996548681,2.911314476673285,0.44772948012460373
2045,800,2510690323.7579155,5462539299.447736,15901725685.707937,6924395280.605799,13391035361.950022,2.4514304845923687,2.9110501204660633,0.45961963587369464
2046,800,2420814591.037414,5068455730.573929,15016593832.838707,6420701893.309314,12595779241.801292,2.4851315492056205,2.962755251516875,0.4776237023112545
2047,800,2260894692.018202,4754701300.789786,14194204329.034586,5968649763.487153,11933309637.016384,2.5097916529549784,2.985298850776775,0.47550719782179646
2048,800,1935522627.1251824,4484656942.985645,13506202823.824318,5573055780.248928,11570680196.699135,2.580059153643086,3.011646820599974,0.4315876669568876
2049,800,1712944260.5858312,4232933438.44196,12657665731.315697,5230784335.961722,10944721470.729866,2.5856115221028264,2.9902822511602443,0.404670729057418
2050,800,1498033157.628617,4022094925.9379573,11981024036.209217,4923496650.815085,10482990878.5806,2.606350936915283,2.9788019071716034,0.37245097025632085
2051,800,1260266279.3460822,3901670792.7148175,11016128594.802544,4668916751.529014,9755862315.45646,2.500431951786543,2.8234387727872403,0.3230068210006969
2052,800,999243791.6161625,3786986244.921973,10405241134.42058,4444914648.706497,9405997342.804417,2.483768552214062,2.7476310874836485,0.26386253526958636
2053,800,770371544.2897967,3685967425.7978997,9878714911.690363,4240915663.10364,9108343367.400566,2.471086234688818,2.6800874154637766,0.20900118077495888
2054,800,571357300.4220686,3588228154.9163847,9209874654.429365,4076981819.714242,8638517354.007298,2.407460445950544,2.5666914858272105,0.1592310398766666
2055,800,370351629.90444714,3532334524.2936544,8827179415.65619,3924287757.9656987,8456827785.751743,2.3941185999202097,2.498964737044922,0.1048461371247121
2056,800,189426664.11412138,3464658605.223077,8428767484.147532,3781305981.8856006,8239340820.033411,2.3781104457484954,2.4327844225231634,0.05467397677466836
2057,800,91183164.61062317,3338566810.481739,7995469439.993778,3652899286.171587,7904286275.383155,2.3675686976120764,2.3948807658697326,0.027312068257656308
2058,800,93337006.83675651,3257989851.170058,7590465705.650524,3551309424.110497,7497128698.813767,2.3011516429743595,2.329800291711935,0.028648648737575392
2059,800,94707482.01971546,3158258549.199383,7286685675.69303,3447248063.616737,7191978193.673315,2.2771974116864113,2.3071846595777292,0.029987247891317754
2060,800,96084878.92771631,3063531972.475827,6903169050.300114,3337047444.4620643,6807084171.372397,2.2219726226232845,2.2533367081921596,0.031364085568875016
2061,800,97740464.56926672,2937979556.450178,6771968999.478414,3240272076.9028316,6674228534.909147,2.2717069355558426,2.3049748541003,0.03326791854445778
2062,800,99596944.80165732,2801636684.7187557,6793246533.56501,3133070768.5228744,6693649588.763352,2.389192583489925,2.4247421411270373,0.03554955763711219
2063,800,102444484.38538668,2592511628.1014805,6836957556.995825,3028004268.3851366,6734513072.610438,2.597679022771513,2.6371945579285945,0.03951553515708151
2064,800,104587157.57947421,2467029349.0630116,6728910624.1819315,2903871207.343602,6624323466.602457,2.6851417349851974,2.727535700674822,0.04239396568962459
2065,800,106303932.5937039,2310949995.1557426,6740681352.337876,2770121085.46453,6634377419.744172,2.8708442128351024,2.916844313580052,0.046000100744949146
2066,800,108708875.84958282,2081706457.2880359,6766441422.070497,2627943494.4253216,6657732546.220914,3.198209105281031,3.2504301451250464,0.05222103984401547
2067,800,103255384.22097489,1925301986.0245783,6889250488.09818,2489458223.0057006,6785995103.877205,3.524639330939004,3.578270078203842,0.05363074726483803
2068,800,83501829.13704967,1790776419.6455002,6902519464.741026,2383512451.333082,6819017635.603976,3.8078553865221547,3.854484227633196,0.04662884111104143
2069,800,83201939.03275108,1374691089.3962502,6894904640.818431,2276472272.8268156,6811702701.78568,4.955078820491451,5.015602919086789,0.060524098595337875
2070,800,84043425.53053506,924823294.2854624,6954192346.7738905,2180660835.705013,6870148921.243356,7.428607133594505,7.519482251089753,0.09087511749524946
2071,800,83469818.83869474,669487933.7880235,6977491206.469171,2122045554.041114,6894021387.630476,10.297454277664837,10.42213138478821,0.12467710712337253
2072,800,84328525.5733759,533166365.36975986,7013894627.995564,2061459438.896495,6929566102.422189,12.997005348633381,13.155170850155393,0.15816550152201114
2073,800,85218246.75874594,358378346.3231057,7029247507.524336,1998668507.6384397,6944029260.76559,19.376252309912196,19.6140408025292,0.23778849261700405
2074,800,87618956.73623659,313975177.6395588,7101364021.6582575,1925734393.8681529,7013745064.922021,22.3385336307501,22.617596954784023,0.27906332403392253
2075,800,88877988.48638006,262653143.6035982,7026261672.8836775,1860696580.4108229,6937383684.397298,26.412719030187382,26.751104428005107,0.33838539781772664
2076,800,90919214.08076175,261856346.21062148,7032160059.714298,1793147287.458826,6941240845.633536,26.507819825953046,26.855030101344394,0.34721027539134686
2077,800,89471840.47668882,248148976.30921653,7062532137.166569,1728445110.7116296,6973060296.68988,28.100298459425453,28.460855419230107,0.3605569598046564
2078,800,91762894.2212882,239383454.41395986,6940271353.815259,1654717941.1704683,6848508459.593971,28.60894658053942,28.99227672524777,0.3833301447083511
2079,800,92887956.5975866,225378233.2027356,6871291611.415442,1574121308.5211737,6778403654.817856,30.075680151066074,30.487822687093637,0.41214253602756146
2080,800,88507431.76610467,230121569.19190228,6751440717.598531,1489085665.7322145,6662933285.832426,28.953971195442758,29.338582825186585,0.38461162974382823
2081,800,89260238.43483049,231382593.36996186,6483987129.094657,1405339458.188073,6394726890.659826,27.63702661260772,28.02279564187999,0.3857690292722697
2082,800,87885742.67052557,200197231.20637932,6399476159.229911,1320111981.9978652,6311590416.559385,31.52686167798641,31.96585747298782,0.43899579500140995
2083,800,90249373.58776869,174568665.2434161,6094840598.718475,1232114650.5973601,6004591225.130707,34.39672988710768,34.91371484235109,0.5169849552434065
2084,800,90692366.6073257,176100093.5913056,5759800707.574661,1150559588.6670432,5669108340.967336,32.19253451462805,32.70753916202934,0.5150046474012967
2085,800,92174887.4295272,172897401.50747755,5490533901.505693,1071604346.962242,5398359014.076166,31.222904260031317,31.756023246354204,0.5331189863228845
2086,800,90505149.89158975,173959416.12692994,5208880676.15219,1008358581.8441042,5118375526.2606,29.42281389658128,29.943079783341634,0.5202658867603489
2087,800,92272734.14884713,174110741.1046707,4813069169.885674,934606112.7995102,4720796435.736827,27.113757633705152,27.643723410448217,0.5299657767430629
2088,800,90220472.19314386,172946100.59937844,4461948013.584167,853720885.2555432,4371727541.391023,25.277976931772088,25.79964508086864,0.5216681490965521
2089,800,92041567.96214119,173923006.6114329,4057032934.794247,779229310.2015306,3964991366.832106,22.797394341798743,23.326603040264807,0.5292086984660648
2090,800,91917502.25177039,173941627.75044614,3719176581.706546,712963000.1934538,3627259079.4547753,20.853312265530825,21.381751049509806,0.5284387839789814
2091,800,92729703.09636684,174931602.08134127,3292780818.8635006,641417440.7466177,3200051115.7671337,18.293156168998813,18.823247370320164,0.5300912013213516
2092,800,91940129.91129321,174649645.25019675,2854669479.3370023,568060652.1951252,2762729349.4257092,15.818694309215019,16.345120399457475,0.5264260902424571
