year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2038,800,3553019861.171698,7293429127.16325,16431063826.207031,8080998036.335313,12878043965.035334,1.7657049572296588,2.2528585031438877,0.4871535459142291
2039,800,3337594294.4034796,7169242636.747871,16099186057.84584,7927139976.569885,12761591763.44236,1.7800474066855272,2.2455909045852565,0.46554349789972893
2040,800,3053557506.719477,6809250757.532948,15826355702.27207,7673398039.78026,12772798195.552593,1.8758008260192627,2.3242433368698703,0.44844251085060766
2041,800,2817260553.5314503,6437877378.256273,15589814072.123499,7353659300.738788,12772553518.592049,1.9839696794677921,2.421576733470818,0.4376070540030257
2042,800,2674762454.376755,5993475858.56295,15155334728.25908,6992168867.4088745,12480572273.882326,2.0823596471238277,2.5286386540802486,0.44627900695642087
2043,800,2519996947.998338,5643567362.376674,14296456200.488329,6613582275.466209,11776459252.48999,2.086704826276863,2.5332303634394235,0.4465255371625604
2044,800,2477961769.5827446,5235875968.4556265,13932589929.18274,6269326068.440017,11454628159.599995,2.187719538929157,2.660985480389883,0.47326594146072637
2045,800,2455230149.3330193,4995095893.525202,13101483265.701244,5953457493.157658,10646253116.368225,2.1313410879995773,2.62286921912426,0.49152813112468263
2046,800,2401689488.5600357,4744630866.493034,12562480456.06526,5660671389.922249,10160790967.505224,2.1415345584124466,2.6477255680273273,0.5061910096148808
2047,800,2366427909.743616,4549601951.522242,11957671979.946318,5398771638.029542,9591244070.202702,2.108150157398624,2.628289706958963,0.5201395495603386
2048,800,2320072868.3545256,4413885774.005203,11502179086.573618,5177269138.319576,9182106218.219093,2.0802772632439828,2.605907736514991,0.5256304732710082
2049,800,2237018273.7200274,4312538727.507192,10968545484.192074,4981498785.875727,8731527210.472046,2.0246837795980084,2.5434079963688356,0.5187242167708271
2050,800,2215062329.271789,4151235142.3824844,10273351207.339367,4823697256.777212,8058288878.067577,1.9411786135156752,2.474769762486465,0.5335911489707895
2051,800,2160110943.26334,4089984930.9112835,9918544306.171345,4692874129.73016,7758433362.908005,1.8969344616092167,2.4250808924035345,0.5281464307943181
2052,800,2145550527.0759776,4053486090.591955,9424024260.202261,4586397482.675368,7278473733.126284,1.7956084146975237,2.324918366458737,0.5293099517612134
2053,800,2119864263.375688,4025223598.7475576,9217892184.817152,4496148936.246852,7098027921.441463,1.7633872373326054,2.2900323320387184,0.5266450947061129
2054,800,2071385727.9624228,4034602117.610315,8638145119.50104,4442167298.008157,6566759391.538616,1.627610158353878,2.1410153635217424,0.5134052051678641
2055,800,2084071596.4204178,3988509545.005772,8431046482.408575,4392282803.716904,6346974885.988157,1.5913149547142358,2.1138338487783095,0.5225188940640737
