region,scenario,mc_runs,active_layers,year,metric,p05,p50,p95,width,width_over_median,interpretation_boundary_year,elapsed_sec
california,all_free_L1_L2_L3,150,L1;L2;L3,2075,ATS Emissions (kg CO2),86133276.65045793,283755958.26725197,5403141104.676179,5317007828.025721,18.73796011366205,2031.0,0.73
california,L2_only_scale_factors_only,150,L2_scalefactors_only,2030,ATS Emissions (kg CO2),3572600013.0996404,5114273145.777472,7197362572.491181,3624762559.391541,0.7087541975313297,,0.71
california,L2_only_scale_factors_only,150,L2_scalefactors_only,2050,ATS Emissions (kg CO2),2460401949.097768,3500098437.159603,4911796523.480935,2451394574.3831673,0.7003787517394856,,0.71
california,L2_only_scale_factors_only,150,L2_scalefactors_only,2075,ATS Emissions (kg CO2),87028472.06213288,123634098.74736896,172747740.31117508,85719268.2490422,0.6933303119246977,,0.71
california,L3_only_cav_sti_targets_only,150,L3_cavstitargets_only,2030,ATS Emissions (kg CO2),3734812489.9446635,5273736630.637487,7076536330.714562,3341723840.769899,0.6336539108449851,,0.7
california,L3_only_cav_sti_targets_only,150,L3_cavstitargets_only,2050,ATS Emissions (kg CO2),2556117581.767523,3619052682.120878,4862564853.533546,2306447271.7660236,0.6373069071805756,,0.7
california,L3_only_cav_sti_targets_only,150,L3_cavstitargets_only,2075,ATS Emissions (kg CO2),97383806.14878179,125621193.68183589,161242682.1917847,63858876.04300292,0.5083447638997921,,0.7
california,L3_only_growth_exponents_only,150,L3_growthexponents_only,2030,ATS Emissions (kg CO2),3789256814.535276,5626752582.14127,7215470347.532777,3426213532.997501,0.6089149083739612,2043.0,0.7
california,L3_only_growth_exponents_only,150,L3_growthexponents_only,2050,ATS Emissions (kg CO2),2355435690.0421295,3962069993.8453693,7806956815.393905,5451521125.351775,1.3759275161266966,2043.0,0.7
california,L3_only_growth_exponents_only,150,L3_growthexponents_only,2075,ATS Emissions (kg CO2),119956651.23762572,139250065.3427279,4831120521.41851,4711163870.180884,33.832399709009664,2043.0,0.7
ohio,baseline_deterministic,0,none,2030,ATS Emissions (kg CO2),1191117781.801189,1191117781.801189,1191117781.801189,0.0,0.0,,0.0
ohio,baseline_deterministic,0,none,2050,ATS Emissions (kg CO2),1414604075.3190374,1414604075.3190374,1414604075.3190374,0.0,0.0,,0.0
ohio,baseline_deterministic,0,none,2075,ATS Emissions (kg CO2),2196299809.005154,2196299809.005154,2196299809.005154,0.0,0.0,,0.0
ohio,L1_only,150,L1,2030,ATS Emissions (kg CO2),1102327771.4353263,1196207479.963253,1279570144.778324,177242373.34299755,0.1481702600191418,,0.7
ohio,L1_only,150,L1,2050,ATS Emissions (kg CO2),1278121926.8119593,1442359124.1832,1563228239.3218844,285106312.5099251,0.1976666613256801,,0.7
ohio,L1_only,150,L1,2075,ATS Emissions (kg CO2),1110726801.7614331,2420370039.371338,2882488569.7979774,1771761768.0365443,0.7320210295185847,,0.7
ohio,L2_only,150,L2,2030,ATS Emissions (kg CO2),742460158.7955024,1172121545.202332,2037493262.1850712,1295033103.3895688,1.1048624681376535,,0.72
